timestep,datetime,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 01,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 02,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 03,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 04,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 05,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 06,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Solar 07,Solar 08,Solar 09
t0001,1/1/24 0:00,0.22119999999999995,0.22119999999999998,0.22119999999999995,0.004537813830115353,0.0010393068414798177,0.0010393068414798177,0.0010393068414798177,0.0,0.0,0.030115199329749355,0.030115199329749355,0.030115199329749355,0.0,0.0,0.22119999999999995,0.22119999999999995,0.22119999999999998,0.005399778854538426,0.005399778854538426,0.22119999999999998,0.02005055194470236,0.0252014647828797,0.0252014647828797,0.036689895470383274,0.7079154705388192,0.3655716001952283,0.13322388475088,0.1038971056412017,0.02010766446374055,0.1501407350291086,0.01371211451533913,0.06816313816193109,0.23008597639034867,0.3882078702567053,0.201532251569387,0.1027017922952482,0.7356334133854735,0.13630606589593156,0.28565024129059935,0.755773439669801,0.7035082103659278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0002,1/1/24 1:00,0.21330000000000002,0.2133,0.2133,0.004419067299981493,0.017939746921399376,0.017939746921399376,0.017939746921399376,0.0,0.0,0.02903965649654402,0.02903965649654402,0.02903965649654402,0.0,0.0,0.21330000000000002,0.21330000000000002,0.21330000000000002,0.003281205332662106,0.003281205332662106,0.21330000000000002,0.006276178685649437,0.026662809058799083,0.026662809058799083,0.011484588582149558,0.7513787014916626,0.39941782166088796,0.14892325869657846,0.11211471569847802,0.0202658852814352,0.14928860948713438,0.010925303232262007,0.0642206826359542,0.2669893572118252,0.4309440634480606,0.23876174020559,0.1335934782853154,0.7796341995414117,0.15237915199601618,0.32216955967982464,0.8010698728310962,0.7464867781984457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0003,1/1/24 2:00,0.21419999999999997,0.21419999999999997,0.21419999999999997,0.00046650422552587745,0.009934275304595374,0.009934275304595374,0.009934275304595374,0.0,0.0,0.029162186692731972,0.029162186692731972,0.029162186692731972,0.0,0.0,0.21419999999999997,0.21419999999999997,0.21420000000000003,0.0034706712573827525,0.0034706712573827525,0.21420000000000003,0.0009254100897554936,0.026895906918761685,0.026895906918761685,0.0016933797909407665,0.7868394565398675,0.4317462303918403,0.15778939126218258,0.11782364185141993,0.020500097270727224,0.1485099141442928,0.009986615017583009,0.06031409814397064,0.29776703174052,0.4725079398522395,0.269346607154174,0.1603370438269456,0.8149212655389881,0.16175487902555477,0.354485209175203,0.8374345331036928,0.7809925473398793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0004,1/1/24 3:00,0.216,0.216,0.21599999999999997,0.00046650422552587745,0.009737649685937032,0.009737649685937032,0.009737649685937032,0.0,0.0,0.02940724708510787,0.02940724708510787,0.02940724708510787,0.0,0.0,0.216,0.216,0.216,0.003565404219743075,0.003565404219743075,0.216,0.001103373568554627,0.02711107417411178,0.02711107417411178,0.0020190297507370674,0.8153035859526625,0.4587063714642265,0.16267653986966155,0.12421517993342929,0.02060891602942625,0.14704851820364098,0.009289877547661472,0.05714648981163606,0.3150458817431461,0.5100861325780264,0.298402456638137,0.1880148709027266,0.8422495972839736,0.1702164398729664,0.3752601084901777,0.8659932136535602,0.8088922232452892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0005,1/1/24 4:00,0.2162,0.21619999999999995,0.21619999999999995,0.00046650422552587745,0.00969083406244695,0.00969083406244695,0.00969083406244695,0.0,0.0,0.029434476017594084,0.029434476017594084,0.029434476017594084,0.0,0.0,0.2162,0.2162,0.2162,0.003565404219743075,0.003565404219743075,0.2162,0.0010915093366346848,0.026940733430292955,0.026940733430292955,0.0019973197534173142,0.8369633782476205,0.48239389173662583,0.16604809582486563,0.1303143973775126,0.02015657649450225,0.146872927977201,0.0090475984440299,0.058832716323886015,0.32563360195537394,0.5437663808631158,0.33366661146083,0.22352612014332401,0.8620439944684936,0.17752763754140083,0.38995527147340653,0.8877742051795663,0.8304432349795361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0006,1/1/24 5:00,0.216,0.216,0.21599999999999997,0.00046650422552587745,0.009718923436540999,0.009718923436540999,0.009718923436540999,0.0,0.0,0.02940724708510787,0.02940724708510787,0.02940724708510787,0.0,0.0,0.216,0.216,0.216,0.003548180044768471,0.003548180044768471,0.216,0.0009847312493552046,0.026985559941824225,0.026985559941824225,0.0018019297775395337,0.8563837584888915,0.5056776150653023,0.16779251974601844,0.13564892750084956,0.01898582308720305,0.1475692453020842,0.008544840500203144,0.06512391010208475,0.33398660931629304,0.5733811461269686,0.364802200217931,0.25447655284057,0.8786125552629136,0.18328167153210081,0.4032307059306228,0.9070910020141867,0.8490740585726565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0007,1/1/24 6:00,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.00046650422552587745,0.009615929064862817,0.009615929064862817,0.009615929064862817,0.0,0.0,0.029366403686378554,0.029366403686378554,0.029366403686378554,0.0,0.0,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.0034276108199462418,0.0034276108199462418,0.21569999999999998,0.0024677602393479827,0.027120039476418032,0.027120039476418032,0.00451567944250871,0.8723891988912409,0.5243151628865891,0.16925854532170462,0.1402164876882206,0.01769097578833805,0.1452141959827182,0.0069934902182572575,0.07201409530992642,0.3348549683719426,0.5965132856507999,0.39537368151858804,0.286839812999752,0.8921887932001663,0.18737924537673772,0.410158254019365,0.9227255496736083,0.8647517076304458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0008,1/1/24 7:00,0.2209,0.22089999999999999,0.22089999999999999,0.011374221207821849,0.011057850268357339,0.011057850268357339,0.011057850268357339,0.0,0.0,0.03007435593102004,0.03007435593102004,0.03007435593102004,0.0,0.0,0.2209,0.2209,0.22089999999999999,0.0032725932451748035,0.0032725932451748035,0.22089999999999999,0.008055813473640771,0.026492468314980262,0.026492468314980262,0.01474108818011257,0.8813442412762831,0.533471363196121,0.1694887863894708,0.1428983989697644,0.01665795707978105,0.1426962382759594,0.00491991948180115,0.07755915100445218,0.3296112160957061,0.6111439659605553,0.41657155610387503,0.31288687040708196,0.8994228255477882,0.1887579861175091,0.40995851491864094,0.9312546370883493,0.8739585887825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0009,1/1/24 8:00,0.22019999999999998,0.22019999999999998,0.22019999999999998,0.009499722410708778,0.03829518001488698,0.03829518001488698,0.03829518001488698,0.0,0.0,0.0299790546673183,0.0299790546673183,0.0299790546673183,0.0,0.0,0.22019999999999998,0.22019999999999998,0.2202,0.0030056185330684377,0.0030056185330684377,0.2202,0.013098112039616217,0.027362102638686887,0.027362102638686887,0.023967837041007772,0.8821363863649879,0.5326357685361525,0.16638921018825334,0.14435705293973,0.015610702350281452,0.141889703737914,0.003172052924233612,0.08331347141279934,0.3251606932507069,0.6189515795962921,0.43081638136389105,0.33207793205346603,0.8995608744653173,0.18732594203137506,0.4061080645228313,0.9320740224136564,0.874217829395235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08855982828141555,0.0,0.14776265485478757,0.19043676502823534,0.20020022242439317,0.1790197972138752,0.10455945615169422,0.15188743529826687,0.1716666058765496,0.1584638691397065,0.1548979800080343,0.0,0.1548979800080343,0.1548979800080343,0.13290193711525716,0.13290193711525716,0.13290193711525716,0.13290193711525716,0.13290193711525716,0.13290193711525716,0.13290193711525716,0.1301964040502509,0.0,0.15238293948496606,0.13581532988954567,0.15234999410494923,0.13584976233073898,0.15231731897238154,0.12071073614067264,0.12067492248574539,0.15241227649902922,0.15240023347636078,0.1024861528587963,0.0,0.1358041366267036,0.06733365525053553,0.0,0.33623180902457334,0.44984701125158144,0.2776838992461096,0.0,0.3362036881655451,0.3377014034785406,0.38886909562536504,0.0,0.28896987738811863,0.15581576071151443,0.5157848509965596,0.0,0.0,0.0,0.0,0.0,0.0
t0010,1/1/24 9:00,0.22069999999999998,0.22069999999999995,0.22069999999999995,0.005860989451606933,0.0014044687047024562,0.0014044687047024562,0.0014044687047024562,0.0,0.0,0.03004712699853383,0.03004712699853383,0.03004712699853383,0.0,0.0,0.22069999999999998,0.22069999999999998,0.22069999999999998,0.0029022734832208122,0.0029022734832208122,0.22069999999999998,0.01172186113690292,0.026922802825680447,0.026922802825680447,0.021449477351916376,0.8762136068678733,0.5229065113204765,0.1581538130067682,0.14348618922216747,0.014169510677482075,0.1430975652374376,0.0018125932461393512,0.09117501873146286,0.31549269261975216,0.6223603857191815,0.44900916404616603,0.35626856298630794,0.8945756007774636,0.18156174104895892,0.3946608585692626,0.9260637629745361,0.868002462702253,0.03275613128244954,0.38575559852692576,0.3839343264104188,0.3916035206577808,0.3850732719079616,0.3851723151336458,0.2577365012654273,0.38528070560617617,0.3851130321226567,0.385076151096993,0.06877096981820077,0.03275805771360069,0.38501761107972365,0.32281635429808575,0.38998677228254486,0.3840577719911634,0.38486665435761597,0.3841344362578322,0.2241811694957788,0.323059744553411,0.3229554609931912,0.31986102150895573,0.3645227955713311,0.44249634510965447,0.4883534661341524,0.46803634183235227,0.5016522722977416,0.33668800539357113,0.24625513027904963,0.44603946087839225,0.489517378760682,0.3991918681337737,0.2076447951807358,0.3991918681337737,0.3991918681337737,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.3382878899151818,0.38537870800325574,0.39271028764586985,0.41679674641600256,0.392625383195889,0.41690241438052517,0.3925411752080903,0.37289259352716336,0.3727819600649183,0.39278589287615495,0.392754856469372,0.3199074340886876,0.3773404119009517,0.41676239598193576,0.4558643103992894,0.2563300065902162,0.5161920002208417,0.6906170751808618,0.42630769467292134,0.0,0.51614882833145,0.6113060377557344,0.4680253578271244,0.18607948084673465,0.5654506981317627,0.4604946674153481,0.7885524645923135,0.6058006451105761,0.8971163157967041,0.325321696051085,0.39053661100542997,0.38513698419369763,0.3851024160791362
