timestep,datetime,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 01,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 02,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 03,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 04,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 05,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 06,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Solar 07,Solar 08,Solar 09
t0001,1/1/24 0:00,0.22119999999999995,0.22119999999999998,0.22119999999999995,0.004537813830115353,0.0010393068414798177,0.0010393068414798177,0.0010393068414798177,0.0,0.0,0.030115199329749355,0.030115199329749355,0.030115199329749355,0.0,0.0,0.22119999999999995,0.22119999999999995,0.22119999999999998,0.005399778854538426,0.005399778854538426,0.22119999999999998,0.02005055194470236,0.0252014647828797,0.0252014647828797,0.036689895470383274,0.7690002584811867,0.30475054567857407,0.00843817311816357,0.028747730371125213,0.011250074289762924,0.16505376179592599,0.001990071615608549,0.06468225528194442,0.03983783884367548,0.09800720043661473,0.24772665822404502,0.15394791966577898,0.8201054261302689,0.03641809847207406,0.11703835655314275,0.8341857659018314,0.7044021191169095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0002,1/1/24 1:00,0.21330000000000002,0.2133,0.2133,0.004419067299981493,0.017939746921399376,0.017939746921399376,0.017939746921399376,0.0,0.0,0.02903965649654402,0.02903965649654402,0.02903965649654402,0.0,0.0,0.21330000000000002,0.21330000000000002,0.21330000000000002,0.003281205332662106,0.003281205332662106,0.21330000000000002,0.006276178685649437,0.026662809058799083,0.026662809058799083,0.011484588582149558,0.8242336919950419,0.554709205256735,0.03124474372116933,0.06948597878869965,0.01602772275729365,0.16444114921865519,0.0003460510523011599,0.039782156813519064,0.07833343828482044,0.21290117221280766,0.30312043740078504,0.202655421218258,0.8651116978553108,0.08335494429534565,0.27843676421792285,0.8778350919468191,0.7808619897152048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0003,1/1/24 2:00,0.21419999999999997,0.21419999999999997,0.21419999999999997,0.00046650422552587745,0.009934275304595374,0.009934275304595374,0.009934275304595374,0.0,0.0,0.029162186692731972,0.029162186692731972,0.029162186692731972,0.0,0.0,0.21419999999999997,0.21419999999999997,0.21420000000000003,0.0034706712573827525,0.0034706712573827525,0.21420000000000003,0.0009254100897554936,0.026895906918761685,0.026895906918761685,0.0016933797909407665,0.7639697901763856,0.5536619310331324,0.09790575412578471,0.09166446461883253,0.0290643213445595,0.16676989904992098,0.0,0.021439454409565552,0.20977906030778784,0.3509367547900395,0.30893801079633904,0.10138393268764181,0.8226721667984627,0.11595631341398586,0.37298202320123436,0.8239732631193373,0.6872018325233794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0004,1/1/24 3:00,0.216,0.216,0.21599999999999997,0.00046650422552587745,0.009737649685937032,0.009737649685937032,0.009737649685937032,0.0,0.0,0.02940724708510787,0.02940724708510787,0.02940724708510787,0.0,0.0,0.216,0.216,0.216,0.003565404219743075,0.003565404219743075,0.216,0.001103373568554627,0.02711107417411178,0.02711107417411178,0.0020190297507370674,0.8617942029107529,0.5840485024624149,0.5500287543771333,0.45355498868325383,0.06639657542491975,0.18747240523403963,0.010939871531573242,0.01967127972432796,0.46436169809761035,0.627646172408758,0.248611479762689,0.07355496814846758,0.8899050372544909,0.40081144154831494,0.5448848395076054,0.9163006365202168,0.8184227135421385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0005,1/1/24 4:00,0.2162,0.21619999999999995,0.21619999999999995,0.00046650422552587745,0.00969083406244695,0.00969083406244695,0.00969083406244695,0.0,0.0,0.029434476017594084,0.029434476017594084,0.029434476017594084,0.0,0.0,0.2162,0.2162,0.2162,0.003565404219743075,0.003565404219743075,0.2162,0.0010915093366346848,0.026940733430292955,0.026940733430292955,0.0019973197534173142,0.7571723974137711,0.5849911486437338,0.5321112258961066,0.5077442560326235,0.06317883172294125,0.16551548307705383,0.023214247115514248,0.00545405660021895,0.5092570609717617,0.6305950412987421,0.262941765180637,0.06981309402722839,0.8239504234470209,0.4554151664406141,0.5622956383247434,0.8523919138333131,0.7113015794633734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0006,1/1/24 5:00,0.216,0.216,0.21599999999999997,0.00046650422552587745,0.009718923436540999,0.009718923436540999,0.009718923436540999,0.0,0.0,0.02940724708510787,0.02940724708510787,0.02940724708510787,0.0,0.0,0.216,0.216,0.216,0.003548180044768471,0.003548180044768471,0.216,0.0009847312493552046,0.026985559941824225,0.026985559941824225,0.0018019297775395337,0.8578905704724277,0.5850249175289023,0.7325628900500298,0.5767032708217001,0.0358793778363775,0.1406290332811764,0.007641534389626488,0.00859643941457157,0.5378895582746505,0.6295381362847947,0.36168413669987,0.0970215701890938,0.8905827847726009,0.5622421793863693,0.5637242458241541,0.9336337485576506,0.8494105648568191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0007,1/1/24 6:00,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.00046650422552587745,0.009615929064862817,0.009615929064862817,0.009615929064862817,0.0,0.0,0.029366403686378554,0.029366403686378554,0.029366403686378554,0.0,0.0,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.0034276108199462418,0.0034276108199462418,0.21569999999999998,0.0024677602393479827,0.027120039476418032,0.027120039476418032,0.00451567944250871,0.9048129860811928,0.5850249175289023,0.7680229905891149,0.5969972792719881,0.0337035311541365,0.1177619194933234,0.0027104416002476255,0.02266475209608328,0.5384655172647043,0.6333590237059896,0.517969212574753,0.31620054954008403,0.9165589436609637,0.571755405341224,0.5637254666479958,0.9512627196733553,0.9015216547579759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0008,1/1/24 7:00,0.2209,0.22089999999999999,0.22089999999999999,0.011374221207821849,0.011057850268357339,0.011057850268357339,0.011057850268357339,0.0,0.0,0.03007435593102004,0.03007435593102004,0.03007435593102004,0.0,0.0,0.2209,0.2209,0.22089999999999999,0.0032725932451748035,0.0032725932451748035,0.22089999999999999,0.008055813473640771,0.026492468314980262,0.026492468314980262,0.01474108818011257,0.9107913158960904,0.5850249175289023,0.70225882512088,0.591383097735937,0.032124184671958746,0.09796660596864641,0.0028880151412403344,0.029442102232058922,0.5374018072667426,0.633629400670921,0.589622137416249,0.37823980815091,0.9212714828773999,0.5647672096048506,0.5637254666479958,0.9557814496254096,0.90706632063403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t0009,1/1/24 8:00,0.22019999999999998,0.22019999999999998,0.22019999999999998,0.009499722410708778,0.03829518001488698,0.03829518001488698,0.03829518001488698,0.0,0.0,0.0299790546673183,0.0299790546673183,0.0299790546673183,0.0,0.0,0.22019999999999998,0.22019999999999998,0.2202,0.0030056185330684377,0.0030056185330684377,0.2202,0.013098112039616217,0.027362102638686887,0.027362102638686887,0.023967837041007772,0.9108034990548011,0.5850249175289023,0.5033404695911292,0.554512020832736,0.02014116332778885,0.078927951535625,0.001002168913685204,0.015433061869444282,0.5328683468625155,0.6336491408662106,0.521396349773892,0.37882540116223196,0.9212714828773999,0.5268030440026016,0.5637239154177018,0.9557814496254096,0.906038150048542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6391210027318015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357956905548746,0.0,0.11602120750729812,0.18524585173517846,0.18471593125358637,0.1220971770284992,0.10455945627161688,0.1233129563090993,0.10565450480611115,0.095135274791844,0.07182228343918398,0.0,0.07182228343918398,0.07182228343918398,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08013111566984472,0.0,0.07065612266880873,0.06688852702508946,0.07064084689512472,0.06690548499928714,0.07062569616266544,0.07246982613020989,0.07244832513490733,0.0706697255597443,0.07066414151764994,0.061957532304070376,0.0,0.06688301445548459,0.03199667100705685,0.0,0.048885195360285336,0.06540386289386144,0.04037283601238426,0.02958153622128373,0.048881106806634746,0.08789506688062104,0.0884300361424569,0.0,0.09558729403102535,0.10811191013526622,0.08959062127565597,0.0,0.0,0.0,0.0,0.0,0.0
t0010,1/1/24 9:00,0.22069999999999998,0.22069999999999995,0.22069999999999995,0.005860989451606933,0.0014044687047024562,0.0014044687047024562,0.0014044687047024562,0.0,0.0,0.03004712699853383,0.03004712699853383,0.03004712699853383,0.0,0.0,0.22069999999999998,0.22069999999999998,0.22069999999999998,0.0029022734832208122,0.0029022734832208122,0.22069999999999998,0.01172186113690292,0.026922802825680447,0.026922802825680447,0.021449477351916376,0.9108034990548011,0.5850249175289023,0.3509261671798769,0.47877178940792836,0.01513572413985675,0.06076806845152861,0.0003610998528885786,0.029861360916540333,0.5256596824198158,0.633726598280029,0.5522549997005289,0.491368908832572,0.9212714828773999,0.46843658279589206,0.5636333336487216,0.9557814496254096,0.9068800060892288,0.042913361088899996,0.01694781046410591,0.016867794343383962,0.017204732156901693,0.016917832952961995,0.016922184345630392,0.00908349761080909,0.01692694623562877,0.016919579833468583,0.016917955798284097,0.08412827455904681,0.04291588481027778,0.01691538753296319,0.04287345394297561,0.01713370305786169,0.01687321809832007,0.016908755463452784,0.016876585933846056,0.009094853533208408,0.04290577867426103,0.04289192866167601,0.29619609359516874,0.01284700427311669,0.4333776427203844,0.5005862559472174,0.49920904996736354,0.4497392158111376,0.28372315882886223,0.454235140311768,0.44363468769103076,0.4405780593052425,0.33259466872364574,0.050082378254658,0.33259466872364574,0.33259466872364574,0.34345591026425776,0.34345591026425776,0.34345591026425776,0.34345591026425776,0.34345591026425776,0.34345591026425776,0.34345591026425776,0.33646404892779636,0.016931251941434557,0.3271944108018849,0.3246710533623725,0.3271236717409042,0.32475336588427284,0.3270535117208946,0.3356127937244722,0.33551322112320336,0.32725740307653506,0.32723154449140446,0.31491886909286393,0.016578093405729917,0.3246442958321963,0.16040105409422944,0.1842793207916416,0.31071792882215,0.4157118052934766,0.25661274121931177,0.23984870978734898,0.31069194167179004,0.39840660493996666,0.393359924684461,0.009085602468344375,0.409197981392382,0.426579352974689,0.39484257812961704,0.21922088585685282,0.086457104423194,0.07197559329759601,0.01715785885935576,0.016920632075588766,0.016919113383439065
