timestep,datetime,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108
t0001,1/1/24 0:00,0.0,0.0,0.0,229.24281843953804,439.0029729486779,341.45185208690725,0.0,287.78266363970084,292.6533309408208,312.45763475098084,248.771419622584,303.26768958072336,215.96336604869114,302.44060806979047,190.2315586001757,165.83229011600974,253.6420711014585,219.50147856321624,121.9503735236911,117.07970622257108,209.76015450913988,107.29242909360148,97.55110503952513,97.55110503952513,0.0,0.0,0.0,0.0,146.34964200785703,92.68045356065059,87.80978098544878,82.93911368432877,68.28118507648463,68.28118507648463,52.36343127033637,48.79853696833192,39.01125983936231,34.140592538242316,0.0,0.0,0.0,0.0,0.0,39.672650575335375,0.0,0.0,132.24217295367757,281.77754834321286,88.5005299350025,114.94896302771755,0.0,79.34530302319631,72.22457139679717,28.482928378122114,85.44878700689192,33.47761319900636,78.32805538049278,69.17283034121215,64.08659025516894,62.05209496976187,53.91411570065922,63.710208870796954,39.672650575335375,37.63815528992831,35.63418029876648,34.58641236181772,34.58641236181772,33.569166591639764,0.0,28.482928378122114,27.465682607944157,24.841184476229788,23.396692037130038,20.344950981545015,37.63815528992831,18.31045569613796,18.31045569613796,20.128093795426874,17.29320805343443,17.29320805343443,16.275960410730903,15.258714640552942,12.206967967391215,12.206967967391215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.64151262180587,236.53239098764996,0.0,283.838878926891,0.0,90.97400028052348,112.80775645116468,138.2804719835794,196.50383800814112,174.67008183749994,156.47528502863227,152.83632566685873,138.2804719835794,0.0,141.91943134535293,109.16879708939116,80.0571221952029,76.41816283342936,72.77920347165583,87.33504091874997,100.53556280644327,83.69608155697642,43.66751234128238,40.028552979508845,29.11167489418825,18.194796808867657,7.277918723547063
t0002,1/1/24 1:00,0.0,0.0,0.0,220.87846051367356,422.9851189489034,328.9933352847441,0.0,277.2823687125732,281.9753205025959,301.05702682129106,239.69452373719545,292.20239418665125,208.08353406615873,291.40549030936637,183.29060029335486,159.7815852798103,244.3874602822772,211.49255185198123,117.5007834327629,112.80783164274021,202.1066584352298,103.37766183596976,93.99176841921833,93.99176841921833,0.0,0.0,0.0,0.0,141.00979844630746,89.29883187413655,84.60587500246692,79.91292321244421,65.78981686059198,65.78981686059198,50.45285241620745,47.01803002708913,37.587860220318674,32.89490843029599,0.0,0.0,0.0,0.0,0.0,37.76047398468453,0.0,0.0,125.86825077424969,268.1961913151584,84.23490514947036,109.40855387850272,0.0,75.52094975164101,68.74342928272307,27.110083657943765,81.33025275610326,31.864030356880807,74.55273228718532,65.83877867162792,60.997689567077444,59.061254638166034,51.315516704792394,60.639449336924194,37.76047398468453,35.82403905577311,33.916653377671494,32.91938666240601,32.91938666240601,31.951170980222276,0.0,27.110083657943765,26.141867975760032,23.643867666018544,22.26899811793722,19.36434750684208,35.82403905577311,17.427912577930677,17.427912577930677,19.157942590204193,16.45969511347497,16.45969511347497,15.491477649019272,14.523261966835538,11.618606008924493,11.618606008924493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.64050717742288,194.36846180027024,0.0,233.24216216549175,0.0,74.7571037713222,92.69880547437253,113.63079079459793,161.47534201134462,143.5336403082943,128.58222222241903,125.59193860524395,113.63079079459793,0.0,116.621074411773,89.7085218571975,65.78625291979704,62.79596930262198,59.805685685446925,71.76682015414715,82.61423569651028,68.77653653697209,35.88340340610067,32.89311978892561,23.922268937400442,14.951418085875279,5.980567234350111
t0003,1/1/24 2:00,0.0,0.0,0.0,207.4318946977573,397.23477087117624,308.9649879048498,0.0,260.4020644410937,264.80932026525034,282.7293767820698,225.10247985183264,274.4137935423803,195.4158935478301,273.6654033155887,172.13229579163175,150.0544548133998,229.50972135912477,198.6173782771559,110.34760962769393,105.94035380353729,189.80287617341895,97.08427075319892,88.26976864946197,88.26976864946197,0.0,0.0,0.0,0.0,132.42545060592587,83.86252714216978,79.45526654572502,75.04801072156839,61.78468616393782,61.78468616393782,47.38140036498652,44.155681956463916,35.29959890612553,30.89234308196891,0.0,0.0,0.0,0.0,0.0,35.894422713468906,0.0,0.0,119.64807966468575,254.94244233039126,80.07217530930336,104.00178988688413,0.0,71.78884712113326,65.34625890682217,25.770354551439794,77.31106534851484,30.289370187688355,70.86847713420376,62.58515064022911,57.98329901138613,56.14255903752711,48.779600836286534,57.64276233646763,35.894422713468906,34.05368273960989,32.240556457477815,31.292572778821373,31.292572778821373,30.372204486087323,0.0,25.770354551439794,24.849986258705748,22.47543240398971,21.168506310987723,18.407398044394657,34.05368273960989,16.56665807053565,16.56665807053565,18.21119326870928,15.64628808360614,15.64628808360614,14.725918096676638,13.805549803942588,11.044436454763158,11.044436454763158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.34661168949594,186.82513176309752,0.0,224.19016581020847,0.0,71.85582286830345,89.10121727889968,109.22084409126197,155.20857534367107,137.96318093307485,123.59201892424463,120.71778652247858,109.22084409126197,0.0,112.09507649302803,86.22698487713366,63.23312566300533,60.35889326123929,57.48466085947325,68.98159046653743,79.40802394870148,66.10735806477136,34.49078882119249,31.616556419426445,22.99385921412832,14.371162008830202,5.74846480353208
t0004,1/1/24 3:00,0.0,0.0,0.0,203.1051730424995,388.9490427392803,302.52043652169726,0.0,254.97046361166113,259.2857906162771,276.83206133362853,220.40717599971157,268.68992882643937,191.3398078541285,267.95714890974773,168.54187141231404,146.92454145048598,224.72248898609163,194.47451436052222,108.04592216117513,103.73059515655912,185.84386969678079,95.0592368630885,86.42859219934708,86.42859219934708,0.0,0.0,0.0,0.0,129.66325212300316,82.11327921296696,77.79794753560567,73.48262053098966,60.49594925113891,60.49594925113891,46.39309463064255,43.23465992365609,34.56330163018546,30.247974625569455,0.0,0.0,0.0,0.0,0.0,34.410572903013694,0.0,0.0,114.70191346641576,244.40330376424876,76.76204874440772,99.70243013836397,0.0,68.82114743018599,62.64489121338213,24.705026491374106,74.11508109828094,29.037229247281356,67.93882488147707,59.99792519141397,55.586310823710704,53.82166572629284,46.76308696078005,55.25985169182903,34.410572903013694,32.645927805595825,30.907754869601938,29.998960159469046,29.998960159469046,29.116639234918747,0.0,24.705026491374106,23.822705566823807,21.54631407330139,20.29341537198809,17.646449350019928,32.645927805595825,15.881804252602077,15.881804252602077,17.458355539693578,14.999481703893148,14.999481703893148,14.117159155184222,13.234838230633919,10.587867336189884,10.587867336189884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.3972566041965,178.13031863023343,0.0,213.75638969267112,0.0,68.51166383331709,84.9544602187568,104.13772266843644,147.985191923594,131.5423955381543,117.84006521695454,115.09959915271457,104.13772266843644,0.0,106.8781887326764,82.21399415451685,60.29026564059724,57.54979957635729,54.80933351211734,65.77119776907715,75.71238662749,63.03073170483719,32.8855927708794,30.14512670663945,21.9237285139196,13.702330321199751,5.4809321284799
t0005,1/1/24 4:00,0.0,0.0,0.0,201.69244528831763,386.2436507524141,300.41621135362647,0.0,253.1969792387868,257.4822903549029,274.90651541850036,218.8741016319283,266.8210167055116,190.00891581929693,266.093333746768,167.36955376072913,145.90258630100237,223.1593988273144,193.12181841584209,107.29439293778442,103.00908182166829,184.55120546409648,94.39803842980324,85.82742547805765,85.82742547805765,0.0,0.0,0.0,0.0,128.76136039751117,81.5421282826715,77.25681252631206,72.97150141019593,60.07516082294473,60.07516082294473,46.07040067161976,42.93393491945355,34.32289152758849,30.037580411472366,0.0,0.0,0.0,0.0,0.0,33.505363794844754,0.0,0.0,111.68454967282686,237.973997944275,74.74273607905363,97.07964474847236,0.0,67.01072917112279,60.99694637193953,24.05513277816632,72.16539991593226,28.273372032096006,66.151617116749,58.419611790251444,54.12404993694919,52.40582582820159,45.53293097464456,53.80617868241722,33.505363794844754,31.78713968609716,30.094691358573726,29.209803522975786,29.209803522975786,28.350693050035286,0.0,24.05513277816632,23.19602230522582,20.979513869143418,19.75957408773065,17.18223950604256,31.78713968609716,15.464015397294977,15.464015397294977,16.99909371651137,14.604903342921183,14.604903342921183,13.745791288547393,12.886680815606892,10.309341489618928,10.309341489618928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.40791449977135,172.87877160234288,0.0,207.4545330429147,0.0,66.4918379701716,82.44987623497147,101.06758754390465,143.62236811687646,127.66432985207659,114.36596463141002,111.7062915872767,101.06758754390465,0.0,103.72726058803798,79.79020319083817,58.51281883777166,55.85314579363835,53.19347274950504,63.832164926038296,73.48027273455156,61.17249188190497,31.91607652959975,29.256403485466436,21.277384353066495,13.298365220666563,5.319346088266624
t0006,1/1/24 5:00,0.0,0.0,0.0,205.1619353524033,392.88776926010564,305.58393619771624,0.0,257.5524443255912,261.9114708667825,279.63542543014444,222.6391485567753,271.41084090554887,193.27742716378665,270.6706404289004,170.2486254233946,148.4123856778313,226.99816093777378,196.44387754995645,109.14005864775986,104.78103210656855,187.72583390770234,96.02186254445067,87.30381890219658,87.30381890219658,0.0,0.0,0.0,0.0,130.97629839332313,82.94480652119805,78.58577525994248,74.22674871875117,61.108566775634756,61.108566775634756,46.86289836358903,43.672479491126566,34.91330992900868,30.554283387817378,0.0,0.0,0.0,0.0,0.0,33.9342448376449,0.0,0.0,113.11415319606084,241.02015309192822,75.6994707316782,98.32230008954937,0.0,67.86849127696601,61.77772983478458,24.363047370401944,73.08914371288206,28.63528164617599,66.99838227070063,59.16740441766466,54.81685778466154,53.076639772130775,46.11576932368398,54.49491766056126,33.9342448376449,32.19402682511413,30.479914533335958,29.583699806318,29.583699806318,28.713592401728842,0.0,24.363047370401944,23.49293996581279,21.248059402352123,20.012503940751273,17.402178523631356,32.19402682511413,15.6619605111006,15.6619605111006,17.216688400289033,14.79185150483522,14.79185150483522,13.921742498569843,13.051635093980687,10.441304871832104,10.441304871832104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.98850502805014,172.14197116674663,0.0,206.5703724898537,0.0,66.20845317557861,82.09847910181436,100.63684268242275,143.01025696864772,127.12023104241199,113.87854277054885,111.2302051161762,100.63684268242275,0.0,103.2851803367954,79.45014144744175,58.26344021246073,55.6151025580881,52.96676490371548,63.560115521205994,73.16710359031977,60.911777866833354,31.780051852471527,29.131714198098898,21.186701234981015,13.241688271863136,5.296675308745254
t0007,1/1/24 6:00,0.0,0.0,0.0,214.21945019169328,410.23302774646385,319.07489411837145,0.0,268.92290192225727,273.4743713135995,291.98080524474864,232.46824959540643,283.39312073159743,201.81026324582493,282.62024179152064,177.76478307950367,154.96451428444828,237.0197042014099,205.11650648056255,113.95838763780897,109.4069182464667,196.01357755477056,100.2610477685456,91.1581188427536,91.1581188427536,0.0,0.0,0.0,0.0,136.7586564328643,86.60666423675008,82.05518991696161,77.50372052561934,63.80639544169472,63.80639544169472,48.93180747487839,45.60053759011073,36.454667112189604,31.90319772084736,0.0,0.0,0.0,0.0,0.0,35.01813865794742,0.0,0.0,116.7271327164406,248.71857855430665,78.1173877626538,101.46281298367362,0.0,70.0362789687302,63.750972496308584,25.141227542521815,75.4236842804008,29.54992126663635,69.13837780797921,61.05727066689096,56.56776321030061,54.77196088879861,47.58875325562601,56.23553999569134,35.01813865794742,33.222336336445416,31.45347357860407,30.52863285419243,30.52863285419243,29.630733346276802,0.0,25.141227542521815,24.24332803460619,21.926743734059468,20.651723391602197,17.958021562184573,33.222336336445416,16.16221924068258,16.16221924068258,17.76660669823347,15.264318079931583,15.264318079931583,14.366416919180587,13.468517411264958,10.77481062334123,10.77481062334123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.25384055830484,176.1216147322902,0.0,211.34594493240968,0.0,67.73908537921218,83.99646296875851,102.9634034898959,146.31642248478857,130.05904489524227,116.51123023728698,113.80166730569591,102.9634034898959,0.0,105.67296642148696,81.28690003716747,59.610396584439016,56.90083365284796,54.191270721256906,65.02952244762113,74.85860852104129,62.31995951603006,32.51475517909267,29.80519224750161,21.67650345272844,13.547814657955279,5.41912586318211
t0008,1/1/24 7:00,0.0,0.0,0.0,222.81676986256255,426.6970065118323,331.880402027339,0.0,279.7156481111518,284.4497826960352,303.69893970079664,241.79795263269224,294.7666036215711,209.9095620930307,293.9627065488795,184.89905900538076,161.18374165036772,246.53207183885337,213.34849556655504,118.53190646078404,113.79777187590064,203.8802366492697,104.28484802305631,94.81658910577099,94.81658910577099,0.0,0.0,0.0,0.0,142.24722381579707,90.0824698996098,85.34833018848568,80.61419560360225,66.36715254459675,66.36715254459675,50.895599234023116,47.430634710026105,37.917710857181774,33.183576272298374,0.0,0.0,0.0,0.0,0.0,36.479970380515965,0.0,0.0,121.59990528599678,259.1013322373133,81.37839705361218,105.69837673334514,0.0,72.95994248286488,66.4122559771354,26.19074774475082,78.57224495608543,30.783482328488166,72.02455845035595,63.60610560144161,58.92918371706406,57.05841565204622,49.57534511380785,58.583091848874055,36.479970380515965,34.609202315498116,32.76649840585998,31.803050217971368,31.803050217971368,30.86766790729541,0.0,26.19074774475082,25.255365434074864,22.842075353371694,21.51382930403919,18.707678928345395,34.609202315498116,16.83691086332756,16.83691086332756,18.508273453498948,15.901526830818641,15.901526830818641,14.966142798309725,14.030760487633767,11.224604946441097,11.224604946441097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.39287674150556,185.14965142108514,0.0,222.17958933078808,0.0,71.21140732560426,88.3021420335549,108.241332526164,153.81663778984228,136.72590308189166,122.48362415859943,119.63516837394097,108.241332526164,0.0,111.08978831082246,85.45368624889647,62.666039971628926,59.817584186970485,56.969128402312045,68.36295154094583,78.6958789504964,65.51449575628736,34.181469415901304,31.33301363124286,22.787646277267534,14.24227892329221,5.6969115693168835
t0009,1/1/24 8:00,0.0,0.0,0.0,233.28748981616678,446.74857113590645,347.4762961328918,0.0,292.860189340339,297.81679280622967,317.970516071709,253.1606460643107,308.6184270731914,219.7737399177767,307.77675285686354,193.58793043873143,168.75817072469684,258.1172334287943,223.3742775172497,124.10201861564215,119.14541514975143,213.46108131973966,109.18545509911762,99.27225890160756,99.27225890160756,0.0,0.0,0.0,0.0,148.93177832967672,94.31567153712388,89.3590627040975,84.40245923820679,69.4859118230893,69.4859118230893,53.28731134249251,49.65951942806917,39.69955937743535,34.74295591154465,0.0,0.0,0.0,0.0,0.0,37.23733843052113,0.0,0.0,124.12446553609108,264.48058744786914,83.06791042892893,107.8928021300829,0.0,74.47467861862252,67.7910542678465,26.734499160684358,80.20349923963336,31.42258443685906,73.51987488885734,64.92664483613123,60.15262442972502,58.24301697019464,50.60458888965344,59.79934727819734,37.23733843052113,35.32773097099075,33.446770312451164,32.46331978169519,32.46331978169519,31.508517809510288,0.0,26.734499160684358,25.77969718849946,23.31630430388899,21.96048226943871,19.096072837723433,35.32773097099075,17.186465378193063,17.186465378193063,18.892527465446438,16.231661648427878,16.231661648427878,15.276857918662692,14.322055946477787,11.45764124202167,11.45764124202167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.20499051898618,195.36012174119577,0.0,234.43215413544445,0.0,75.13851145661742,93.17175098780179,114.21053044085022,162.2991826006911,144.26594306950673,129.23824346018642,126.23270353832234,114.21053044085022,0.0,117.2160703627143,90.16621106593774,66.12189169102524,63.11635176916117,60.110811847297114,72.13297153475337,83.0357301474701,69.1274316128893,36.06647906236875,33.06093914050468,24.044319374912494,15.027699609320312,6.011079843728123
t0010,1/1/24 9:00,0.0,0.0,0.0,242.22150558897172,463.8573273068928,360.7833050632608,0.0,304.0756109339058,309.22203329483756,330.1475668347402,262.8557274712662,320.4373287100638,228.19023091959158,319.5634216006212,201.00160540830296,175.22096116507674,268.00213311416877,231.92865529443182,128.854649768829,123.70822740789724,221.63582171792106,113.36683910211359,103.07400552560281,103.07400552560281,0.0,0.0,0.0,0.0,154.6352940120552,97.92759988270018,92.78117194909204,87.63474958816026,72.14695563947396,72.14695563947396,55.3280109119351,51.56128848645242,41.219900180668745,36.07347781973698,0.0,0.0,0.0,0.0,0.0,38.6745086589366,0.0,0.0,128.91503312242102,274.6881812849831,86.27390561647137,112.05691078062446,0.0,77.34901914328705,70.40744118090235,27.766313674952702,83.29894285027197,32.635334991971526,76.35736488788727,67.43248024011682,62.47420713770398,60.490898626904375,52.55766640911988,62.10729530050986,38.6745086589366,36.691200148137,34.73764405788262,33.71623738193762,33.71623738193762,32.724584951951684,0.0,27.766313674952702,26.774661244966772,24.21619403270912,22.808044223367585,19.833083282582056,36.691200148137,17.849774771782467,17.849774771782467,19.62168210316369,16.85812051638267,16.85812051638267,15.866466260982875,14.874813830996944,11.899847413969828,11.899847413969828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.45130677200717,215.1171641371938,0.0,258.1406058243463,0.0,82.73737422957983,102.59434050079349,125.76080115054278,178.7127259733021,158.85575970208845,142.3082878094104,138.99879343087474,125.76080115054278,0.0,129.0702955290784,99.28484612225789,72.80889109397299,69.49939671543737,66.18990233690177,79.42787985104422,91.43324969385702,76.11838547250859,39.713932542427344,36.404438163891726,26.47595502828489,16.547471892678058,6.6189887570712225
