timestep,datetime,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108
t0001,1/1/24 0:00,0.0,0.0,0.0,247.67242653391443,474.29591167096174,368.90232516997304,0.0,310.9184885407294,316.18072531446694,337.57716431249315,268.77099823505466,327.6484082645404,233.32539390244253,326.7548348642984,205.5249191339902,179.1641106591124,274.0332179145427,237.14794728835614,131.75437788161696,126.49214110787939,226.6234851370473,115.918031558048,105.39356940673918,105.39356940673918,0.0,0.0,0.0,0.0,158.11518635649475,100.13134972725106,94.86910725543035,89.60687048169277,73.77054125237325,73.77054125237325,56.57310520192624,52.72161694975561,42.147507399924194,36.885270626186625,0.0,0.0,0.0,0.0,0.0,41.68308942233458,0.0,0.0,138.94363599842183,296.0568193570227,92.98535514282368,120.77408076857435,0.0,83.36618081208624,75.88460121427204,29.926320358673916,89.77896304343884,35.17411426722436,82.29738344562463,72.67821108230429,67.33422228257913,65.19662754965589,56.64625058538008,66.93876751275255,41.68308942233458,39.54549468941134,37.43996688763012,36.339102590026506,36.339102590026506,35.27030719098199,0.0,29.926320358673916,28.857524959629394,26.100028580473605,24.582335493782935,21.375945361815184,39.54549468941134,19.238350628891958,19.238350628891958,21.14809878867852,18.16955326243034,18.16955326243034,17.10075589596873,16.031960496924206,12.825564462705186,12.825564462705186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.46973765374062,211.6360291415746,0.0,253.96324368623087,0.0,81.39847609919843,100.93410687646953,123.72567611661913,175.82070604991094,156.2850752726399,140.00538295824728,136.74944449536875,123.72567611661913,0.0,126.98161457949766,97.67816841359102,71.63066071056289,68.37472224768437,65.11878378480587,78.14253763631994,89.95363049866589,74.88659917344141,39.07126155454218,35.815323091663664,26.047507703028117,16.279692314392577,6.511876925757029
t0002,1/1/24 1:00,0.0,0.0,0.0,237.57296555590784,454.95531280420414,353.85941268314497,0.0,298.2400116254645,303.28766756879975,323.8116133960964,257.8111903683396,314.28772714196674,223.81096896675817,313.43059142602016,197.14412790159415,171.8582471458271,262.858829914486,227.47764820350767,126.38176447963735,121.33410853630204,217.3823472482963,111.19118467908172,101.09588372387033,101.09588372387033,0.0,0.0,0.0,0.0,151.66764523540436,96.04824417772383,91.00058276865894,85.95292682532364,70.7623634219568,70.7623634219568,54.266195723194755,50.57176151153404,40.428837654313696,35.3811817109784,0.0,0.0,0.0,0.0,0.0,40.34891400019574,0.0,0.0,134.496384444357,286.5807527454367,90.00911760453954,116.90839296985509,0.0,80.69782990483627,73.45571767272148,28.96845083290402,86.90535440315685,34.04827548221126,79.66324217104206,70.35195637578359,65.17901580236764,63.10984033477917,54.833140368870154,64.7962185884416,40.34891400019574,38.279738532607276,36.241603610833195,35.17597533122459,35.17597533122459,34.14138950187517,0.0,28.96845083290402,27.933865003554594,25.264629450232295,23.79551406837767,20.691752771439784,38.279738532607276,18.622577303851326,18.622577303851326,20.471199019015557,17.587989570057097,17.587989570057097,16.553401836262868,15.518816006913442,12.41504899664115,12.41504899664115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.71274788072446,217.33320936518462,0.0,260.79986018920425,0.0,83.58969935237205,103.65122361654825,127.05633525808716,180.5537482141949,160.4922239500187,143.7742870632052,140.43069968584248,127.05633525808716,0.0,130.39992263544988,100.30763623918557,73.55893722028394,70.21534984292124,66.87176246555855,80.24611197500936,92.37515601489118,76.90252459764663,40.12304852835241,36.77946115098971,26.748699018901608,16.717936886813508,6.687174754725402
t0003,1/1/24 2:00,0.0,0.0,0.0,217.09219817725207,415.7343774278946,323.35378550055316,0.0,272.5292398345079,277.14174581479483,295.89635665400726,235.58571953165162,287.1935086794444,204.5166002599744,286.4102651976969,180.14866289078114,157.04263555609464,240.1982105283239,207.86718122213998,115.48660427841322,110.87409829812627,198.6421792506425,101.60557891522421,92.38057694372674,92.38057694372674,0.0,0.0,0.0,0.0,138.5926316130997,87.76808594705442,83.15557497222926,78.5430689919423,64.66205861236793,64.66205861236793,49.587997896557745,46.212054669372975,36.94353528647091,32.331029306183964,0.0,0.0,0.0,0.0,0.0,36.57294582433089,0.0,0.0,121.9098234422861,259.76169629755026,81.58580381694244,105.96776712442256,0.0,73.1458933748831,66.58151897021948,26.257499344875846,78.77249976084887,30.861939298211713,72.20812535618526,63.76821664034726,59.07937482063666,57.20383878324095,49.70169635987948,58.73240087812723,36.57294582433089,34.697409786935175,32.850009431219064,31.88410573084162,31.88410573084162,30.94633943836511,0.0,26.257499344875846,25.31973305239934,22.90029228917184,21.568660977607927,18.755358647735708,34.697409786935175,16.879822610340007,16.879822610340007,18.555444953931584,15.942054591642153,15.942054591642153,15.0042865729443,14.066520280467792,11.253212771931546,11.253212771931546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12707298887214,198.73675316359072,0.0,238.48411198138672,0.0,76.43721590333408,94.7821444461031,116.18456107933363,165.10438416851417,146.75945562574518,131.47201517343763,128.4145270829761,116.18456107933363,0.0,119.24204916979517,91.72465635564161,67.26475163194957,64.20726354148805,61.14977545102655,73.37972781287259,84.4709312166468,70.32223972241106,36.689857085538065,33.63236899507656,24.45990472369204,15.287440452307527,6.11497618092301
t0004,1/1/24 3:00,0.0,0.0,0.0,209.76421718855903,401.7011987152706,312.4389280682501,0.0,263.3299728634321,267.7867829853806,285.90832901234273,227.63348684696544,277.4992470277166,197.61311053919886,276.74244205178354,174.06771669425197,151.74163691389703,232.09028249107357,200.85059211871513,111.58833594953504,107.13152582758647,191.9369815267116,98.17586676118361,89.26225616918009,89.26225616918009,0.0,0.0,0.0,0.0,133.91441572988998,84.80546052507191,80.34864557717657,75.891835455228,62.47938074471695,62.47938074471695,47.91414729803632,44.65215956070991,35.69650049430703,31.239690372358474,0.0,0.0,0.0,0.0,0.0,35.893271552675444,0.0,0.0,119.6442424619141,254.9342661369324,80.06960733517549,103.9984544722454,0.0,71.786544799492,65.34416320376955,25.76952807703094,77.30858592523396,30.288398785091996,70.8662043295115,62.58314348796914,57.98143944392546,56.140758503964435,48.77803643826147,57.64091369027102,35.893271552675444,34.05259061271442,32.23952247888873,31.291569202772887,31.291569202772887,30.371230426933497,0.0,25.76952807703094,24.849189301191554,22.474711600181106,21.16782742126951,18.406807705469095,34.05259061271442,16.566126765508077,16.566126765508077,18.210609222216586,15.645786295527564,15.645786295527564,14.725445825547055,13.805107049707665,11.04408225148389,11.04408225148389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.27042877797084,197.23183763282594,0.0,236.67821328248826,0.0,75.85840221381657,94.0644154958937,115.30476432498367,163.85414661568456,145.64813333360746,130.47645559854317,127.4421200515303,115.30476432498367,0.0,118.33909987199654,91.03007994888085,66.75539557277801,63.72106002576515,60.6867244787523,72.82406666680373,83.83128296707793,69.78973111979086,36.41202656415425,33.377691017141395,24.274684376102833,15.171677735064273,6.068671094025708
t0005,1/1/24 4:00,0.0,0.0,0.0,206.28812364264041,395.04443445415393,307.2613674913883,0.0,258.96621801817804,263.34917241245324,281.17041846437354,223.86127390679366,272.90068701343534,194.33837823575394,272.15642338000396,171.1831652933342,149.22706063490577,228.244214063147,197.52221010811607,109.73915738327226,105.35620298899703,188.75631081151352,96.54895202144634,87.78305272484381,87.78305272484381,0.0,0.0,0.0,0.0,131.6952620417007,83.40011256849041,79.01715342824127,74.63419903396604,61.44400791006197,61.44400791006197,47.120141244891514,43.912209316856895,35.104958349306195,30.722003955030985,0.0,0.0,0.0,0.0,0.0,35.59119409860612,0.0,0.0,118.63731758174796,252.78874162110048,79.39574223216741,103.12320440461039,0.0,71.18238987709546,64.79422730756913,25.552651957988587,76.65795755384902,30.033491890371913,70.26979498432267,62.05644430913399,57.49346816538676,55.668278379841155,48.36752091754203,57.15580827344564,35.59119409860612,33.76600431306051,31.96819494451947,31.028219634742126,31.028219634742126,30.115626421852575,0.0,25.552651957988587,24.64005874509904,22.285564627296182,20.989679174007847,18.251896175572696,33.76600431306051,16.426706390027107,16.426706390027107,18.0573488970098,15.514111497254307,15.514111497254307,14.601516604481512,13.68892339159196,10.951135353507077,10.951135353507077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.53441704963872,201.20911439270452,0.0,241.45094555814876,0.0,77.38812410754149,95.9612705785901,117.62994146148014,167.15834586244873,148.58519939140012,133.10757733219296,130.0120529203515,117.62994146148014,0.0,120.7254658733216,92.86574616674868,68.10155087201719,65.00602646017575,61.910502048334315,74.29259969570006,85.52178191236722,71.19707528385861,37.146292942097226,34.05076853025579,24.76419529473148,15.477622059207178,6.19104882368287
t0006,1/1/24 5:00,0.0,0.0,0.0,205.86535550867717,394.2348279899637,306.6316641779859,0.0,258.4354910775388,262.8094630184483,280.5941861004311,223.40249125190772,272.3414026873739,193.9400999826321,271.59866435235483,170.83234147430352,148.92123379016346,227.77644898407468,197.1174068906106,109.51425728737533,105.14028534646579,188.36947248128658,96.3510840125593,87.60314960323527,87.60314960323527,0.0,0.0,0.0,0.0,131.4253649715154,83.22919187106827,78.85521519391123,74.4812432530017,61.3180841869282,61.3180841869282,47.02357294113062,43.82221536828013,35.03301403437363,30.6590420934641,0.0,0.0,0.0,0.0,0.0,36.57294582433089,0.0,0.0,121.9098234422861,259.76169629755026,81.58580381694244,105.96776712442256,0.0,73.1458933748831,66.58151897021948,26.257499344875846,78.77249976084887,30.861939298211713,72.20812535618526,63.76821664034726,59.07937482063666,57.20383878324095,49.70169635987948,58.73240087812723,36.57294582433089,34.697409786935175,32.850009431219064,31.88410573084162,31.88410573084162,30.94633943836511,0.0,26.257499344875846,25.31973305239934,22.90029228917184,21.568660977607927,18.755358647735708,34.697409786935175,16.879822610340007,16.879822610340007,18.555444953931584,15.942054591642153,15.942054591642153,15.0042865729443,14.066520280467792,11.253212771931546,11.253212771931546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.36833795401058,209.70113774487743,0.0,251.64137393050473,0.0,80.65428706981893,100.01131251191475,122.59450886102654,174.21325776770178,154.85623232560596,138.7253777905261,135.4992068835101,122.59450886102654,0.0,125.82067976804252,96.7851416048988,70.97577434877103,67.74960344175506,64.5234325347391,77.42811616280298,89.13122560636319,74.201945255787,38.714050884191636,35.487879977175666,25.809367256127754,16.13085453507985,6.452341814031938
t0007,1/1/24 6:00,0.0,0.0,0.0,209.90513989987997,401.9710675366671,312.64882917271734,0.0,263.506881843645,267.9666861167154,286.10040646699,227.78641439859393,277.6856751364036,197.745869956906,276.92836172766636,174.1846579672621,151.84357919547767,232.24620418409754,200.98552652455015,111.66330264816727,107.20349837509681,192.06592763678714,98.2418227641459,89.32222387638288,89.32222387638288,0.0,0.0,0.0,0.0,134.00438141995164,84.86243409087923,80.40262498861986,75.9428207155494,62.52135531909483,62.52135531909483,47.94633673262325,44.6821575435688,35.72048193261786,31.260677659547415,0.0,0.0,0.0,0.0,0.0,38.51127615460817,0.0,0.0,128.37092475668246,273.52881194079856,85.90977156124225,111.58395505841122,0.0,77.0225541269257,70.11027430417047,27.649121108730295,82.94736514390027,32.4975918726648,76.03508532114505,67.14786970453788,62.21052385792521,60.23558624636388,52.335837617828005,61.845160636088586,38.51127615460817,36.53633854304684,34.5910277767543,33.573932125704864,33.573932125704864,32.586465137633596,0.0,27.649121108730295,26.661654120659026,24.113985365182863,22.711778897536387,19.749374297903792,36.53633854304684,17.77443668634248,17.77443668634248,19.538865374008015,16.786967880561818,16.786967880561818,15.79949907478116,14.812032086709886,11.849622033949139,11.849622033949139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.42778156437248,215.07583606903742,0.0,258.0910121408565,0.0,82.72147881809578,102.57463019123412,125.7366401265622,178.67839188495046,158.82524051181215,142.28094770086352,138.97208913867377,125.7366401265622,0.0,129.04549868875193,99.26577162904441,72.79490313152661,69.48604456933688,66.17718600714717,79.41262025590608,91.41568364053784,76.10376169371632,39.7063027462767,36.39744418408697,26.47086849751779,16.544292810948622,6.617717124379448
t0008,1/1/24 7:00,0.0,0.0,0.0,219.1120903728535,419.60249720124625,326.3623679979189,0.0,275.064935217561,279.7203573639284,298.64946683728675,237.77768110499474,289.86564490395926,206.41948524711137,289.0751138853527,181.82482113726044,158.50380825875177,242.43308812833536,209.80124103910975,116.56112695880921,111.9057048124418,200.4904068283928,102.55094829101752,93.24011408030056,93.24011408030056,0.0,0.0,0.0,0.0,139.88213983731785,88.5847070569599,83.92927986958358,79.27385772321617,65.26369417845125,65.26369417845125,50.049379792304066,46.64202575701731,37.28726923559303,32.63184708922562,0.0,0.0,0.0,0.0,0.0,41.028588271851184,0.0,0.0,136.761965424729,291.4081829060546,91.5253140863065,118.87770562203227,0.0,82.05717848022738,74.69307343917141,29.45642210074892,88.36926823877178,34.62181599533098,81.00516319771582,71.53702952816171,66.27695117907884,64.17292061405568,55.75680029048815,65.8877057762978,41.028588271851184,38.92455770682803,36.85209056316353,35.768511859293326,35.768511859293326,34.716498513306774,0.0,29.45642210074892,28.404408754762375,25.69021013922303,24.19634762471609,21.040303713706397,38.92455770682803,18.936273148683256,18.936273148683256,20.81603475073055,17.884257866171684,17.884257866171684,16.832242583660115,15.780229237673568,12.624179517088807,12.624179517088807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.07813585212293,223.24537752176127,0.0,267.89446222059195,0.0,85.86361027547682,106.47087306379986,130.51267965017675,185.465395743169,164.85813295484598,147.68541396457675,144.2508701665229,130.51267965017675,0.0,133.9472234482306,103.03632926574603,75.5599788813153,72.12543508326145,68.69089128520761,82.42906647742299,94.88805985248354,78.99452267936913,41.214525576646096,37.77998177859226,27.476350384430727,17.172718990269207,6.869087596107682
t0009,1/1/24 8:00,0.0,0.0,0.0,226.9098137326167,434.5352386518592,337.9768957784467,0.0,284.85389878934694,289.6749972977924,309.2777526611094,246.23967229510967,300.1813335846441,213.76550636024444,299.3626692842094,188.29557157715695,164.14461450621857,251.06075514233262,217.26761149531836,120.70928428312837,115.88818577468292,207.62542491924245,106.20051378826592,96.55832721219,96.55832721219,0.0,0.0,0.0,0.0,144.86024135406674,91.73724436496698,86.91614063611406,82.09504212766862,67.58628729402861,67.58628729402861,51.83052850611536,48.30191414187676,38.61424215545974,33.793143647014304,0.0,0.0,0.0,0.0,0.0,43.067611086818175,0.0,0.0,143.5587083658472,305.890473387913,96.07390353160886,124.78564357856573,0.0,86.13522420640203,78.40514073852242,30.92033590428411,92.76100974561803,36.3424375346907,85.03092627773842,75.09224898529727,69.57075730921352,67.36216145188628,58.52778005534307,69.16216733986752,43.067611086818175,40.859015229490936,38.683551420155126,37.5461214435001,37.5461214435001,36.44182554760218,0.0,30.92033590428411,29.81604000838619,26.966952206195653,25.39884829373173,22.08595654050658,40.859015229490936,19.877360683179354,19.877360683179354,21.850541945875882,18.77306275451574,18.77306275451574,17.66876482585213,16.564468929954206,13.251571078431983,13.251571078431983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.40156773415274,232.59735260579987,0.0,279.1168327066043,0.0,89.4605239174786,110.93104582581566,135.9799880522089,193.23472910718192,171.76420719884487,153.87210560856397,150.29368529050777,135.9799880522089,0.0,139.5584083702651,107.3526255077595,78.72526296331006,75.14684264525388,71.56842232719771,85.88210359942244,98.86301683194749,82.30368328136623,42.94104381667414,39.36262349861796,28.62736254444942,17.89210159028089,7.156840636112355
t0010,1/1/24 9:00,0.0,0.0,0.0,241.09603333893344,461.7020333391197,359.10694029482926,0.0,302.6627361307895,307.78524585217207,328.61354976228137,261.6343791590542,318.94842985914363,227.1299544094388,318.078583323094,200.0676597268486,174.40680418534527,266.75687224008726,230.8510083493851,128.25593194544422,123.1334222240616,220.6060000001862,112.84008475313973,102.59507640394087,102.59507640394087,0.0,0.0,0.0,0.0,153.91678748694756,97.47258332290777,92.35006805474201,87.2275583333594,71.81172778140441,71.81172778140441,55.07093158786854,51.32171108300669,41.028373612084806,35.90586389070221,0.0,0.0,0.0,0.0,0.0,45.86182753695804,0.0,0.0,152.87276350737923,325.73657515934804,102.30715573443042,132.8817067041854,0.0,91.7236572385671,83.49204777837366,32.92644000542486,98.77932218092563,38.70032631085025,90.54771272073219,79.96421638951992,74.08449163569422,71.73260260002435,62.32504862199599,73.64939244549994,45.86182753695804,43.50993850128817,41.19333111306947,39.982104947783384,39.982104947783384,38.806162594599506,0.0,32.92644000542486,31.750497652240984,28.716561705380304,27.046719580901268,23.518888192047527,43.50993850128817,21.16699915637767,21.16699915637767,23.268199954037954,19.991054638542742,19.991054638542742,18.815110120707814,17.639167767523936,14.11132988471705,14.11132988471705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.31765555541597,239.47696646072467,0.0,287.3723696158546,0.0,92.10652935527295,114.21209245534446,140.00191607209456,198.95010077726027,176.84453767718878,158.42323509379585,154.73897457711723,140.00191607209456,0.0,143.68617658877315,110.5278319386659,81.05374780523721,77.36948728855862,73.68522677188004,88.42226883859439,101.78712311569103,84.73800832191579,44.21112620014301,40.52686568346443,29.474084133428672,18.421302583392922,7.368521033357168
