index,node,g_max,eta,vom,fuel,mc_el,plant_type
Biomass 01,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 02,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 03,bus103,1.2,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 04,bus103,1.2,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 05,bus012,1.3,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 06,bus012,1.3,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 07,bus012,3.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 08,bus012,1.35,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 09,bus012,1.35,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 10,bus012,1.35,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 11,bus012,0.71,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 12,bus012,0.71,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 13,bus012,0.71,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 14,bus012,1.57,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 15,bus012,0.65,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 16,bus012,0.65,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 17,bus012,0.65,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 18,bus012,0.65,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 19,bus012,0.45,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 20,bus012,0.45,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 21,bus012,0.45,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 22,bus012,0.45,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 23,bus012,1.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 24,bus012,1.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 25,bus012,1.0,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 26,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 27,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 28,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 29,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 30,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 31,bus012,1.9,0.2887640974307506,1.91,Biomass,28.366152000000003,conventional
Biomass 32,bus012,1.9,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 33,bus103,1.6,0.2878928117483298,1.91,Biomass,28.45200000000001,conventional
Biomass 34,bus103,1.6,0.2878928117483298,1.91,Biomass,28.45200000000001,conventional
Biomass 35,bus103,1.6,0.2878928117483298,1.91,Biomass,28.45200000000001,conventional
Biomass 36,bus103,1.6,0.2878928117483298,1.91,Biomass,28.45200000000001,conventional
Biomass 37,bus103,0.95,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 38,bus103,0.95,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 39,bus103,0.95,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 40,bus103,0.95,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 41,bus103,1.88,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 42,bus103,1.88,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 43,bus103,3.75,0.32850241622068194,1.91,Biomass,24.934752000000003,conventional
Biomass 44,bus103,2.29,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 45,bus103,2.29,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 46,bus103,1.2,0.28159812568287546,1.91,Biomass,29.088000000000005,conventional
Biomass 47,bus103,3.0,0.24644156858086866,1.91,Biomass,33.23760000000001,conventional
Biomass 48,bus103,3.0,0.24644156858086866,1.91,Biomass,33.23760000000001,conventional
