timestep,datetime,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 01,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 02,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 03,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 04,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 05,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 06,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Solar 07,Solar 08,Solar 09,Hydro 36,Hydro 37,Hydro 38,Hydro 39
t0001,2024-01-01 01:00:00,0.21329999999999996,0.2133,0.2133,0.0521,0.1916,0.1916,0.1916,0.0,0.0,0.2133,0.2133,0.2133,0.0,0.0,0.21329999999999996,0.21329999999999996,0.21330000000000002,0.0381,0.0381,0.21330000000000002,0.052899999999999996,0.29739999999999994,0.29739999999999994,0.052899999999999996,0.7513787014916626,0.3994178216608879,0.14892325869657846,0.11211471569847802,0.0202658852814352,0.1492886094871344,0.010925303232262007,0.06422068263595418,0.2669893572118252,0.4309440634480605,0.23876174020559,0.1335934782853154,0.7796341995414118,0.15237915199601618,0.32216955967982464,0.8010698728310963,0.7464867781984457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0002,2024-01-01 02:00:00,0.2142,0.21419999999999997,0.21419999999999997,0.0055,0.1061,0.1061,0.1061,0.0,0.0,0.2142,0.2142,0.2142,0.0,0.0,0.2142,0.2142,0.21420000000000003,0.0403,0.0403,0.21420000000000003,0.0078000000000000005,0.3,0.3,0.007799999999999999,0.7868394565398674,0.43174623039184035,0.15778939126218255,0.11782364185141993,0.020500097270727227,0.14850991414429282,0.00998661501758301,0.06031409814397064,0.29776703174052,0.4725079398522395,0.269346607154174,0.1603370438269456,0.814921265538988,0.16175487902555477,0.354485209175203,0.8374345331036926,0.7809925473398794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0003,2024-01-01 03:00:00,0.216,0.216,0.21599999999999997,0.0055,0.104,0.104,0.104,0.0,0.0,0.216,0.216,0.216,0.0,0.0,0.216,0.216,0.216,0.0414,0.0414,0.216,0.009300000000000001,0.3024,0.3024,0.0093,0.8153035859526625,0.4587063714642265,0.16267653986966155,0.1242151799334293,0.02060891602942625,0.147048518203641,0.009289877547661472,0.05714648981163606,0.3150458817431461,0.5100861325780264,0.298402456638137,0.1880148709027266,0.8422495972839736,0.1702164398729664,0.37526010849017766,0.8659932136535602,0.8088922232452891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0004,2024-01-01 04:00:00,0.2162,0.2162,0.2162,0.0055,0.1035,0.1035,0.1035,0.0,0.0,0.21620000000000003,0.21620000000000003,0.21620000000000003,0.0,0.0,0.2162,0.2162,0.2162,0.0414,0.0414,0.2162,0.0092,0.3005,0.3005,0.0092,0.8369633782476203,0.48239389173662583,0.16604809582486563,0.1303143973775126,0.02015657649450225,0.146872927977201,0.0090475984440299,0.058832716323886015,0.32563360195537394,0.5437663808631158,0.33366661146083,0.223526120143324,0.8620439944684936,0.17752763754140083,0.3899552714734066,0.8877742051795662,0.8304432349795361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0005,2024-01-01 05:00:00,0.216,0.216,0.21599999999999997,0.0055,0.10379999999999999,0.10379999999999999,0.10379999999999999,0.0,0.0,0.216,0.216,0.216,0.0,0.0,0.216,0.216,0.216,0.0412,0.0412,0.216,0.0083,0.301,0.301,0.0083,0.8563837584888916,0.5056776150653023,0.16779251974601844,0.1356489275008496,0.01898582308720305,0.1475692453020842,0.008544840500203144,0.06512391010208475,0.33398660931629304,0.5733811461269684,0.364802200217931,0.25447655284057,0.8786125552629136,0.18328167153210081,0.4032307059306229,0.9070910020141867,0.8490740585726566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0006,2024-01-01 06:00:00,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.0055,0.1027,0.1027,0.1027,0.0,0.0,0.2157,0.2157,0.2157,0.0,0.0,0.21569999999999998,0.21569999999999998,0.2157,0.0398,0.0398,0.2157,0.0208,0.30249999999999994,0.30249999999999994,0.0208,0.8723891988912409,0.5243151628865891,0.16925854532170462,0.14021648768822062,0.01769097578833805,0.1452141959827182,0.0069934902182572575,0.07201409530992642,0.3348549683719426,0.5965132856508,0.395373681518588,0.286839812999752,0.8921887932001663,0.18737924537673772,0.410158254019365,0.9227255496736084,0.8647517076304457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0007,2024-01-01 07:00:00,0.22089999999999999,0.22089999999999999,0.22089999999999999,0.1341,0.1181,0.1181,0.1181,0.0,0.0,0.2209,0.2209,0.2209,0.0,0.0,0.22089999999999999,0.22089999999999999,0.2209,0.038,0.038,0.2209,0.0679,0.29549999999999993,0.29549999999999993,0.0679,0.8813442412762831,0.533471363196121,0.16948878638947076,0.1428983989697644,0.01665795707978105,0.1426962382759594,0.00491991948180115,0.07755915100445218,0.3296112160957061,0.6111439659605553,0.41657155610387503,0.312886870407082,0.8994228255477881,0.18875798611750913,0.4099585149186409,0.9312546370883493,0.8739585887824999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0008,2024-01-01 08:00:00,0.2202,0.22019999999999998,0.22019999999999998,0.112,0.409,0.409,0.409,0.0,0.0,0.22019999999999998,0.22019999999999998,0.22019999999999998,0.0,0.0,0.2202,0.2202,0.2202,0.0349,0.0349,0.2202,0.11040000000000001,0.30519999999999997,0.30519999999999997,0.11040000000000001,0.8821363863649879,0.5326357685361525,0.16638921018825334,0.14435705293972997,0.015610702350281449,0.141889703737914,0.003172052924233612,0.08331347141279932,0.32516069325070696,0.6189515795962921,0.43081638136389105,0.33207793205346603,0.8995608744653172,0.18732594203137512,0.40610806452283127,0.9320740224136566,0.874217829395235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08855982828141554,0.0,0.14776265485478757,0.1904367650282353,0.20020022242439317,0.1790197972138752,0.10455945615169422,0.15188743529826687,0.1716666058765496,0.1584638691397065,0.1548979800080343,0.0,0.1548979800080343,0.1548979800080343,0.13290193711525713,0.13290193711525713,0.13290193711525713,0.13290193711525713,0.13290193711525713,0.13290193711525713,0.13290193711525713,0.1301964040502509,0.0,0.1523829394849661,0.1358153298895457,0.15234999410494923,0.13584976233073898,0.15231731897238154,0.12071073614067264,0.12067492248574539,0.15241227649902925,0.1524002334763608,0.1024861528587963,0.0,0.1358041366267036,0.06733365525053553,0.0,0.33623180902457334,0.44984701125158144,0.2776838992461096,0.0,0.33620368816554497,0.3377014034785406,0.38886909562536504,0.0,0.2889698773881187,0.15581576071151443,0.5157848509965596,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0009,2024-01-01 09:00:00,0.22069999999999998,0.2207,0.22069999999999995,0.0691,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0,0.0,0.2207,0.2207,0.2207,0.0,0.0,0.22069999999999998,0.22069999999999998,0.2207,0.0337,0.0337,0.2207,0.09880000000000001,0.30029999999999996,0.30029999999999996,0.0988,0.8762136068678734,0.5229065113204765,0.1581538130067682,0.14348618922216747,0.014169510677482075,0.1430975652374376,0.0018125932461393512,0.09117501873146287,0.31549269261975216,0.6223603857191816,0.44900916404616603,0.356268562986308,0.8945756007774636,0.18156174104895892,0.39466085856926264,0.9260637629745361,0.8680024627022529,0.03275613128244953,0.38575559852692576,0.3839343264104188,0.39160352065778076,0.38507327190796153,0.3851723151336458,0.2577365012654273,0.3852807056061761,0.3851130321226567,0.385076151096993,0.06877096981820077,0.0327580577136007,0.38501761107972365,0.32281635429808575,0.38998677228254486,0.3840577719911634,0.384866654357616,0.38413443625783217,0.2241811694957788,0.32305974455341097,0.32295546099319117,0.31986102150895573,0.3645227955713311,0.4424963451096544,0.4883534661341524,0.46803634183235227,0.5016522722977416,0.33668800539357113,0.24625513027904963,0.4460394608783923,0.489517378760682,0.3991918681337737,0.20764479518073578,0.3991918681337737,0.3991918681337737,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.34531764683,0.3382878899151818,0.3853787080032557,0.3927102876458699,0.41679674641600256,0.39262538319588913,0.41690241438052517,0.3925411752080903,0.37289259352716336,0.3727819600649183,0.392785892876155,0.392754856469372,0.3199074340886876,0.3773404119009517,0.41676239598193576,0.4558643103992894,0.2563300065902162,0.5161920002208417,0.6906170751808619,0.4263076946729213,0.0,0.51614882833145,0.6113060377557343,0.4680253578271244,0.1860794808467346,0.5654506981317627,0.4604946674153481,0.7885524645923135,0.605800645110576,0.8971163157967039,0.325321696051085,0.39053661100542997,0.38513698419369763,0.3851024160791362,0.255,0.25485714285714284,0.0,0.0
t0010,2024-01-01 10:00:00,0.22169999999999998,0.22169999999999998,0.22169999999999998,0.0678,0.0,0.0,0.0,0.0,0.0,0.2217,0.2217,0.2217,0.0,0.0,0.22169999999999998,0.22169999999999998,0.2217,0.0334,0.0334,0.2217,0.1127,0.2991,0.2991,0.1127,0.871835704373759,0.513046926723353,0.1481002735702749,0.1338270234867056,0.012804444743721699,0.14481110158500202,0.0010542380777166889,0.09960230354567425,0.29915357320994695,0.6217694943625816,0.46401012503684597,0.378431023796222,0.8908329046275207,0.17141214023995974,0.3789670504833988,0.9214029000805,0.8641854502094517,0.03582167206035407,0.648620960580904,0.6455586193622714,0.6584538311455923,0.6474736762674363,0.6476402104990258,0.36691428383880303,0.6478224614700532,0.6475405302774543,0.6474785174216859,0.1856192879689887,0.035823778779989185,0.6473800864919,0.560542378772127,0.655735382241238,0.645766184440958,0.6471262633601702,0.6458950900238667,0.4440180958250832,0.5609650046734272,0.5607839253875307,0.5424777264383551,0.5189355012708644,0.6841942393510454,0.7457777748928206,0.6836881263251061,0.7550196537731544,0.5181423807768334,0.36205576195700623,0.7113395640443654,0.757102366860865,0.5963819180138856,0.02588522827178156,0.5963819180138856,0.5963819180138856,0.5507093562285714,0.5507093562285714,0.5507093562285714,0.5507093562285714,0.5507093562285714,0.5507093562285714,0.5507093562285714,0.5394983655927272,0.6479872456214042,0.5866986110336886,0.5614981140095897,0.5865717660682237,0.5616404672388334,0.5864459615985326,0.5767269506530085,0.5765558415979372,0.5868115632149562,0.5867651956576904,0.5066856586937198,0.6344714149783259,0.5614518379671063,0.704002690478533,0.2144814672315085,0.6397023921561433,0.8558625373273285,0.5283112716976743,0.2994924779947012,0.6396488904340976,0.7330273951260396,0.6201341022138878,0.41817305605236016,0.6794611554039534,0.7351749803565407,0.7613226876606389,1.25871948686876,0.944775314871208,0.7294929725666534,0.6566598974575143,0.6475808040035778,0.647522680145474,0.255,0.25485714285714284,0.0,0.0
