timestep,datetime,Hydro 16,Hydro 17,Hydro 18,Hydro 19,Hydro 20,Hydro 21,Hydro 22,Hydro 23,Hydro 24,Hydro 25,Hydro 26,Hydro 27,Hydro 28,Hydro 29,Hydro 30,Hydro 31,Hydro 32,Hydro 33,Hydro 34,Hydro 35,Hydro 40,Hydro 41,Hydro 42,Hydro 43,Wind 10,Wind 11,Wind 12,Wind 13,Wind 14,Wind 15,Wind 16,Wind 17,Wind 01,Wind 02,Wind 03,Wind 04,Wind 05,Wind 06,Wind 07,Wind 08,Wind 09,Solar 10,Solar 11,Solar 12,Solar 13,Solar 14,Solar 15,Solar 16,Solar 17,Solar 18,Solar 19,Solar 01,Solar 20,Solar 21,Solar 22,Solar 23,Solar 24,Solar 25,Solar 26,Solar 27,Solar 28,Solar 29,Solar 02,Solar 30,Solar 31,Solar 32,Solar 33,Solar 34,Solar 35,Solar 36,Solar 37,Solar 38,Solar 39,Solar 03,Solar 40,Solar 41,Solar 42,Solar 43,Solar 44,Solar 45,Solar 46,Solar 47,Solar 48,Solar 49,Solar 04,Solar 50,Solar 51,Solar 52,Solar 53,Solar 54,Solar 55,Solar 56,Solar 57,Solar 58,Solar 59,Solar 05,Solar 60,Solar 61,Solar 62,Solar 63,Solar 64,Solar 65,Solar 66,Solar 67,Solar 68,Solar 69,Solar 06,Solar 70,Solar 71,Solar 72,Solar 73,Solar 74,Solar 75,Solar 07,Solar 08,Solar 09,Hydro 36,Hydro 37,Hydro 38,Hydro 39
t0001,2024-01-01 01:00:00,0.21329999999999996,0.2133,0.2133,0.0521,0.1916,0.1916,0.1916,0.0,0.0,0.2133,0.2133,0.2133,0.0,0.0,0.21329999999999996,0.21329999999999996,0.21330000000000002,0.0381,0.0381,0.21330000000000002,0.052899999999999996,0.29739999999999994,0.29739999999999994,0.052899999999999996,0.824233691995042,0.5547092052567348,0.031244743721169334,0.06948597878869965,0.01602772275729365,0.16444114921865519,0.0003460510523011599,0.039782156813519064,0.07833343828482044,0.21290117221280766,0.303120437400785,0.202655421218258,0.8651116978553108,0.08335494429534564,0.27843676421792285,0.8778350919468192,0.7808619897152048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0002,2024-01-01 02:00:00,0.2142,0.21419999999999997,0.21419999999999997,0.0055,0.1061,0.1061,0.1061,0.0,0.0,0.2142,0.2142,0.2142,0.0,0.0,0.2142,0.2142,0.21420000000000003,0.0403,0.0403,0.21420000000000003,0.0078000000000000005,0.3,0.3,0.007799999999999999,0.7639697901763854,0.5536619310331324,0.09790575412578471,0.09166446461883253,0.0290643213445595,0.166769899049921,0.0,0.021439454409565552,0.20977906030778784,0.35093675479003944,0.308938010796339,0.10138393268764181,0.8226721667984627,0.11595631341398589,0.37298202320123436,0.8239732631193373,0.6872018325233794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0003,2024-01-01 03:00:00,0.216,0.216,0.21599999999999997,0.0055,0.104,0.104,0.104,0.0,0.0,0.216,0.216,0.216,0.0,0.0,0.216,0.216,0.216,0.0414,0.0414,0.216,0.009300000000000001,0.3024,0.3024,0.0093,0.8617942029107529,0.584048502462415,0.5500287543771333,0.4535549886832538,0.06639657542491975,0.1874724052340396,0.010939871531573244,0.01967127972432796,0.4643616980976104,0.6276461724087579,0.248611479762689,0.0735549681484676,0.8899050372544909,0.40081144154831494,0.5448848395076054,0.9163006365202169,0.8184227135421385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0004,2024-01-01 04:00:00,0.2162,0.2162,0.2162,0.0055,0.1035,0.1035,0.1035,0.0,0.0,0.21620000000000003,0.21620000000000003,0.21620000000000003,0.0,0.0,0.2162,0.2162,0.2162,0.0414,0.0414,0.2162,0.0092,0.3005,0.3005,0.0092,0.757172397413771,0.5849911486437337,0.5321112258961066,0.5077442560326235,0.06317883172294125,0.16551548307705383,0.023214247115514248,0.00545405660021895,0.5092570609717617,0.6305950412987421,0.262941765180637,0.06981309402722839,0.8239504234470209,0.4554151664406141,0.5622956383247434,0.8523919138333131,0.7113015794633734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0005,2024-01-01 05:00:00,0.216,0.216,0.21599999999999997,0.0055,0.10379999999999999,0.10379999999999999,0.10379999999999999,0.0,0.0,0.216,0.216,0.216,0.0,0.0,0.216,0.216,0.216,0.0412,0.0412,0.216,0.0083,0.301,0.301,0.0083,0.8578905704724277,0.5850249175289024,0.7325628900500297,0.5767032708217001,0.0358793778363775,0.1406290332811764,0.007641534389626488,0.008596439414571572,0.5378895582746505,0.6295381362847947,0.36168413669987,0.0970215701890938,0.8905827847726009,0.5622421793863692,0.5637242458241541,0.9336337485576506,0.8494105648568192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0006,2024-01-01 06:00:00,0.21569999999999998,0.21569999999999998,0.21569999999999998,0.0055,0.1027,0.1027,0.1027,0.0,0.0,0.2157,0.2157,0.2157,0.0,0.0,0.21569999999999998,0.21569999999999998,0.2157,0.0398,0.0398,0.2157,0.0208,0.30249999999999994,0.30249999999999994,0.0208,0.9048129860811928,0.5850249175289024,0.7680229905891148,0.5969972792719881,0.0337035311541365,0.1177619194933234,0.0027104416002476255,0.022664752096083277,0.5384655172647044,0.6333590237059895,0.517969212574753,0.31620054954008403,0.9165589436609635,0.571755405341224,0.5637254666479958,0.9512627196733554,0.9015216547579757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0007,2024-01-01 07:00:00,0.22089999999999999,0.22089999999999999,0.22089999999999999,0.1341,0.1181,0.1181,0.1181,0.0,0.0,0.2209,0.2209,0.2209,0.0,0.0,0.22089999999999999,0.22089999999999999,0.2209,0.038,0.038,0.2209,0.0679,0.29549999999999993,0.29549999999999993,0.0679,0.9107913158960903,0.5850249175289024,0.70225882512088,0.591383097735937,0.032124184671958746,0.09796660596864641,0.0028880151412403344,0.02944210223205893,0.5374018072667426,0.633629400670921,0.589622137416249,0.37823980815091,0.9212714828773999,0.5647672096048506,0.5637254666479958,0.9557814496254096,0.90706632063403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0008,2024-01-01 08:00:00,0.2202,0.22019999999999998,0.22019999999999998,0.112,0.409,0.409,0.409,0.0,0.0,0.22019999999999998,0.22019999999999998,0.22019999999999998,0.0,0.0,0.2202,0.2202,0.2202,0.0349,0.0349,0.2202,0.11040000000000001,0.30519999999999997,0.30519999999999997,0.11040000000000001,0.9108034990548011,0.5850249175289024,0.5033404695911292,0.554512020832736,0.02014116332778885,0.078927951535625,0.001002168913685204,0.015433061869444282,0.5328683468625156,0.6336491408662105,0.521396349773892,0.37882540116223196,0.9212714828773999,0.5268030440026017,0.5637239154177018,0.9557814496254096,0.906038150048542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6391210027318015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05357956905548746,0.0,0.11602120750729812,0.18524585173517846,0.18471593125358637,0.1220971770284992,0.10455945627161688,0.12331295630909929,0.10565450480611115,0.095135274791844,0.071822283439184,0.0,0.071822283439184,0.071822283439184,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08179627321426856,0.08013111566984472,0.0,0.07065612266880873,0.06688852702508946,0.07064084689512472,0.06690548499928713,0.07062569616266544,0.0724698261302099,0.07244832513490732,0.07066972555974431,0.07066414151764994,0.061957532304070376,0.0,0.06688301445548459,0.03199667100705685,0.0,0.048885195360285336,0.06540386289386142,0.04037283601238426,0.029581536221283723,0.04888110680663475,0.08789506688062104,0.08843003614245691,0.0,0.09558729403102534,0.10811191013526622,0.08959062127565597,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.25485714285714284,0.0,0.0
t0009,2024-01-01 09:00:00,0.22069999999999998,0.2207,0.22069999999999995,0.0691,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.0,0.0,0.2207,0.2207,0.2207,0.0,0.0,0.22069999999999998,0.22069999999999998,0.2207,0.0337,0.0337,0.2207,0.09880000000000001,0.30029999999999996,0.30029999999999996,0.0988,0.9108034990548011,0.5850249175289024,0.3509261671798769,0.4787717894079284,0.01513572413985675,0.0607680684515286,0.0003610998528885786,0.029861360916540333,0.5256596824198156,0.633726598280029,0.5522549997005289,0.491368908832572,0.9212714828773999,0.46843658279589206,0.5636333336487217,0.9557814496254096,0.9068800060892288,0.042913361088899996,0.01694781046410591,0.016867794343383962,0.01720473215690154,0.016917832952961995,0.016922184345630392,0.00908349761080909,0.01692694623562877,0.016919579833468583,0.016917955798284,0.08412827455904681,0.04291588481027778,0.01691538753296319,0.04287345394297561,0.01713370305786138,0.01687321809832007,0.016908755463452784,0.016876585933846056,0.009094853533208408,0.04290577867426102,0.04289192866167601,0.29619609359516874,0.01284700427311669,0.4333776427203844,0.5005862559472173,0.49920904996736365,0.4497392158111376,0.28372315882886223,0.454235140311768,0.44363468769103076,0.4405780593052425,0.3325946687236457,0.05008237825465799,0.3325946687236457,0.3325946687236457,0.3434559102642577,0.3434559102642577,0.3434559102642577,0.3434559102642577,0.3434559102642577,0.3434559102642577,0.3434559102642577,0.33646404892779636,0.016931251941434557,0.3271944108018848,0.3246710533623725,0.3271236717409041,0.32475336588427284,0.3270535117208946,0.3356127937244722,0.3355132211232033,0.32725740307653506,0.32723154449140446,0.31491886909286393,0.016578093405729168,0.32464429583219634,0.16040105409422944,0.1842793207916416,0.31071792882215,0.4157118052934766,0.25661274121931177,0.23984870978734898,0.31069194167179004,0.39840660493996666,0.39335992468446096,0.009085602468344375,0.409197981392382,0.426579352974689,0.39484257812961704,0.21922088585685282,0.086457104423194,0.07197559329759601,0.017157858859355717,0.016920632075588766,0.016919113383439068,0.255,0.25485714285714284,0.0,0.0
t0010,2024-01-01 10:00:00,0.22169999999999998,0.22169999999999998,0.22169999999999998,0.0678,0.0,0.0,0.0,0.0,0.0,0.2217,0.2217,0.2217,0.0,0.0,0.22169999999999998,0.22169999999999998,0.2217,0.0334,0.0334,0.2217,0.1127,0.2991,0.2991,0.1127,0.907063282902747,0.5850249175289024,0.20257200319676305,0.3262486285246797,0.012708629335983926,0.060196137563576196,0.0006194437006555298,0.11096132417077592,0.4886015267560861,0.63368169871605,0.5122583583488061,0.525819912613234,0.9182980360406817,0.3520939934617133,0.5629017213609964,0.9511080345586685,0.9034819208026987,0.14092897883637487,0.14728210632746463,0.14658673964130584,0.14951484123775421,0.14702159179120153,0.14705940683987845,0.04914925665706304,0.14710078924680034,0.14703677276346072,0.147022659357884,0.16469626194300713,0.14093726682565377,0.14700034027856296,0.14079792237329064,0.14889757475726656,0.14663387387453794,0.14694270539004023,0.14666314148471554,0.04921070161675744,0.14090407792148318,0.14085859399570916,0.5230111130352787,0.06951294945489134,0.6737449938804585,0.7397870378069149,0.734509467934125,0.6888109872529536,0.50931677190942,0.6949341115880419,0.7029203916879576,0.7151228401587401,0.5409266137282028,0.22455419500555676,0.5409266137282028,0.5409266137282028,0.5441913575942783,0.5441913575942783,0.5441913575942783,0.5441913575942783,0.5441913575942783,0.5441913575942783,0.5441913575942783,0.5331130491445208,0.14713820726145424,0.5321437211999254,0.534175487911938,0.5320286723301973,0.5343109152347377,0.5319145652033804,0.5447488116415092,0.5445871906984853,0.5322461708211067,0.5322041148346305,0.5208672221291466,0.14406914219748834,0.5341314642252277,0.4037321665323655,0.38076810452756854,0.5422667402998567,0.7255026654406286,0.4478420515607099,0.32131680468691415,0.5422213873735899,0.641010290251999,0.627353687325683,0.04916064568226682,0.6488946405967126,0.6604931006035757,0.6286489337685833,0.52706212315898,0.2231612461202652,0.18578187643105898,0.14910749670155618,0.1470459170972474,0.14703271915765836,0.255,0.25485714285714284,0.0,0.0
