timestep,datetime,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108
t0001,2024-01-01 01:00:00,0.0,0.0,0.0,220.87846051367356,422.9851189489034,328.99333528474415,0.0,277.2823687125732,281.97532050259593,301.057026821291,239.69452373719545,292.2023941866512,208.08353406615873,291.40549030936637,183.2906002933549,159.78158527981034,244.38746028227723,211.49255185198123,117.5007834327629,112.80783164274021,202.1066584352298,103.37766183596976,93.99176841921833,93.99176841921833,0.0,0.0,0.0,0.0,141.00979844630746,89.29883187413655,84.60587500246692,79.91292321244421,65.789816860592,65.789816860592,50.45285241620745,47.018030027089125,37.587860220318674,32.894908430296,0.0,0.0,0.0,0.0,0.0,37.76047398468451,0.0,0.0,125.86825077424963,268.19619131515833,84.23490514947035,109.4085538785027,0.0,75.520949751641,68.74342928272304,27.110083657943758,81.33025275610323,31.864030356880793,74.5527322871853,65.8387786716279,60.99768956707743,59.06125463816603,51.31551670479238,60.63944933692418,37.76047398468451,35.82403905577311,33.91665337767149,32.919386662406005,32.919386662406005,31.95117098022227,0.0,27.110083657943758,26.14186797576002,23.643867666018537,22.268998117937215,19.364347506842076,35.82403905577311,17.427912577930673,17.427912577930673,19.15794259020419,16.459695113474968,16.459695113474968,15.491477649019268,14.523261966835534,11.618606008924491,11.618606008924491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.64050717742288,194.36846180027024,0.0,233.24216216549175,0.0,74.7571037713222,92.69880547437253,113.63079079459793,161.47534201134462,143.53364030829428,128.582222222419,125.59193860524395,113.63079079459793,0.0,116.62107441177298,89.70852185719747,65.78625291979704,62.79596930262198,59.805685685446925,71.76682015414714,82.61423569651028,68.77653653697209,35.88340340610067,32.89311978892561,23.922268937400446,14.951418085875279,5.9805672343501115
t0002,2024-01-01 02:00:00,0.0,0.0,0.0,207.4318946977573,397.23477087117624,308.96498790484986,0.0,260.4020644410937,264.80932026525034,282.7293767820698,225.10247985183264,274.41379354238023,195.4158935478301,273.6654033155887,172.13229579163178,150.05445481339981,229.50972135912482,198.6173782771559,110.34760962769393,105.94035380353729,189.80287617341895,97.08427075319892,88.26976864946197,88.26976864946197,0.0,0.0,0.0,0.0,132.4254506059259,83.86252714216978,79.45526654572502,75.04801072156839,61.78468616393783,61.78468616393783,47.38140036498652,44.15568195646391,35.29959890612554,30.892343081968914,0.0,0.0,0.0,0.0,0.0,35.8944227134689,0.0,0.0,119.64807966468571,254.94244233039123,80.07217530930335,104.00178988688413,0.0,71.78884712113324,65.34625890682217,25.77035455143979,77.31106534851483,30.289370187688345,70.86847713420374,62.5851506402291,57.98329901138612,56.142559037527114,48.77960083628653,57.64276233646762,35.8944227134689,34.05368273960989,32.24055645747781,31.29257277882137,31.29257277882137,30.37220448608732,0.0,25.77035455143979,24.84998625870574,22.475432403989707,21.16850631098772,18.407398044394657,34.05368273960989,16.566658070535645,16.566658070535645,18.211193268709277,15.646288083606139,15.646288083606139,14.725918096676635,13.805549803942586,11.044436454763156,11.044436454763156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.34661168949594,186.82513176309752,0.0,224.19016581020847,0.0,71.85582286830345,89.10121727889968,109.22084409126197,155.20857534367107,137.96318093307482,123.59201892424461,120.71778652247858,109.22084409126197,0.0,112.09507649302802,86.22698487713365,63.23312566300533,60.35889326123929,57.48466085947325,68.98159046653741,79.40802394870148,66.10735806477138,34.49078882119249,31.616556419426445,22.993859214128324,14.371162008830202,5.748464803532081
t0003,2024-01-01 03:00:00,0.0,0.0,0.0,203.1051730424995,388.9490427392803,302.5204365216974,0.0,254.97046361166113,259.28579061627715,276.83206133362853,220.40717599971157,268.68992882643937,191.3398078541285,267.95714890974773,168.54187141231407,146.924541450486,224.72248898609166,194.47451436052222,108.04592216117513,103.73059515655912,185.84386969678079,95.0592368630885,86.42859219934708,86.42859219934708,0.0,0.0,0.0,0.0,129.66325212300316,82.11327921296696,77.79794753560567,73.48262053098966,60.49594925113892,60.49594925113892,46.39309463064255,43.23465992365608,34.56330163018546,30.24797462556946,0.0,0.0,0.0,0.0,0.0,34.41057290301369,0.0,0.0,114.70191346641575,244.40330376424876,76.76204874440772,99.70243013836398,0.0,68.82114743018599,62.64489121338213,24.705026491374106,74.11508109828094,29.037229247281353,67.93882488147707,59.99792519141397,55.586310823710704,53.82166572629285,46.76308696078005,55.25985169182903,34.41057290301369,32.64592780559583,30.907754869601938,29.998960159469046,29.998960159469046,29.116639234918747,0.0,24.705026491374106,23.822705566823803,21.54631407330139,20.29341537198809,17.64644935001993,32.64592780559583,15.881804252602077,15.881804252602077,17.458355539693578,14.999481703893148,14.999481703893148,14.117159155184222,13.234838230633919,10.587867336189884,10.587867336189884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.3972566041965,178.13031863023343,0.0,213.75638969267112,0.0,68.51166383331709,84.9544602187568,104.13772266843644,147.985191923594,131.54239553815427,117.84006521695453,115.09959915271457,104.13772266843644,0.0,106.87818873267639,82.21399415451684,60.29026564059724,57.54979957635729,54.80933351211734,65.77119776907713,75.71238662749,63.030731704837194,32.8855927708794,30.14512670663945,21.923728513919603,13.702330321199751,5.480932128479901
t0004,2024-01-01 04:00:00,0.0,0.0,0.0,201.69244528831763,386.2436507524141,300.4162113536265,0.0,253.1969792387868,257.48229035490294,274.9065154185003,218.8741016319283,266.82101670551157,190.00891581929693,266.093333746768,167.36955376072916,145.9025863010024,223.15939882731445,193.12181841584209,107.29439293778442,103.00908182166829,184.55120546409648,94.39803842980324,85.82742547805765,85.82742547805765,0.0,0.0,0.0,0.0,128.7613603975112,81.5421282826715,77.25681252631206,72.97150141019593,60.07516082294474,60.07516082294474,46.07040067161976,42.93393491945354,34.322891527588496,30.03758041147237,0.0,0.0,0.0,0.0,0.0,33.50536379484475,0.0,0.0,111.68454967282683,237.973997944275,74.74273607905363,97.07964474847236,0.0,67.01072917112279,60.99694637193953,24.05513277816632,72.16539991593226,28.273372032096,66.151617116749,58.419611790251444,54.12404993694919,52.40582582820161,45.53293097464456,53.80617868241722,33.50536379484475,31.787139686097163,30.094691358573726,29.209803522975786,29.209803522975786,28.350693050035286,0.0,24.05513277816632,23.19602230522582,20.979513869143418,19.75957408773065,17.182239506042563,31.787139686097163,15.464015397294977,15.464015397294977,16.99909371651137,14.604903342921183,14.604903342921183,13.745791288547393,12.886680815606892,10.309341489618928,10.309341489618928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.40791449977135,172.87877160234288,0.0,207.4545330429147,0.0,66.4918379701716,82.44987623497147,101.06758754390465,143.62236811687646,127.66432985207656,114.36596463141001,111.7062915872767,101.06758754390465,0.0,103.72726058803796,79.79020319083816,58.51281883777166,55.85314579363835,53.19347274950504,63.83216492603828,73.48027273455156,61.172491881904975,31.91607652959975,29.256403485466436,21.2773843530665,13.298365220666563,5.319346088266625
t0005,2024-01-01 05:00:00,0.0,0.0,0.0,205.1619353524033,392.88776926010564,305.5839361977163,0.0,257.5524443255912,261.9114708667825,279.6354254301444,222.6391485567753,271.4108409055488,193.27742716378665,270.6706404289004,170.24862542339463,148.41238567783134,226.99816093777383,196.44387754995645,109.14005864775986,104.78103210656855,187.72583390770234,96.02186254445067,87.30381890219658,87.30381890219658,0.0,0.0,0.0,0.0,130.97629839332313,82.94480652119805,78.58577525994248,74.22674871875117,61.10856677563476,61.10856677563476,46.86289836358903,43.67247949112656,34.91330992900868,30.55428338781738,0.0,0.0,0.0,0.0,0.0,33.93424483764489,0.0,0.0,113.11415319606083,241.02015309192822,75.6994707316782,98.32230008954939,0.0,67.86849127696601,61.77772983478458,24.363047370401944,73.08914371288206,28.635281646175983,66.99838227070063,59.16740441766466,54.81685778466154,53.07663977213079,46.11576932368398,54.49491766056126,33.93424483764489,32.194026825114136,30.479914533335958,29.583699806318,29.583699806318,28.713592401728842,0.0,24.363047370401944,23.492939965812788,21.248059402352123,20.012503940751273,17.40217852363136,32.194026825114136,15.6619605111006,15.6619605111006,17.216688400289033,14.79185150483522,14.79185150483522,13.921742498569843,13.051635093980687,10.441304871832104,10.441304871832104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.98850502805016,172.14197116674666,0.0,206.57037248985372,0.0,66.20845317557861,82.09847910181438,100.63684268242277,143.01025696864775,127.12023104241197,113.87854277054885,111.23020511617621,100.63684268242277,0.0,103.28518033679539,79.45014144744175,58.263440212460736,55.615102558088104,52.966764903715486,63.56011552120599,73.16710359031977,60.91177786683336,31.78005185247153,29.1317141980989,21.18670123498102,13.241688271863138,5.296675308745255
t0006,2024-01-01 06:00:00,0.0,0.0,0.0,214.21945019169328,410.23302774646385,319.07489411837156,0.0,268.92290192225727,273.47437131359953,291.98080524474864,232.46824959540643,283.3931207315974,201.81026324582493,282.62024179152064,177.7647830795037,154.96451428444834,237.01970420140992,205.11650648056255,113.95838763780897,109.4069182464667,196.01357755477056,100.2610477685456,91.1581188427536,91.1581188427536,0.0,0.0,0.0,0.0,136.75865643286434,86.60666423675008,82.05518991696161,77.50372052561934,63.806395441694725,63.806395441694725,48.93180747487839,45.600537590110726,36.454667112189604,31.903197720847363,0.0,0.0,0.0,0.0,0.0,35.01813865794741,0.0,0.0,116.72713271644056,248.71857855430665,78.1173877626538,101.46281298367363,0.0,70.0362789687302,63.750972496308584,25.141227542521815,75.4236842804008,29.549921266636343,69.13837780797921,61.05727066689096,56.56776321030061,54.77196088879862,47.58875325562601,56.23553999569134,35.01813865794741,33.22233633644542,31.45347357860407,30.52863285419243,30.52863285419243,29.630733346276802,0.0,25.141227542521815,24.243328034606186,21.926743734059468,20.651723391602197,17.958021562184573,33.22233633644542,16.16221924068258,16.16221924068258,17.76660669823347,15.264318079931583,15.264318079931583,14.366416919180587,13.468517411264958,10.77481062334123,10.77481062334123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.25384055830484,176.1216147322902,0.0,211.34594493240968,0.0,67.73908537921218,83.99646296875851,102.9634034898959,146.31642248478857,130.05904489524224,116.51123023728697,113.80166730569591,102.9634034898959,0.0,105.67296642148695,81.28690003716746,59.610396584439016,56.90083365284796,54.191270721256906,65.02952244762112,74.85860852104129,62.31995951603007,32.51475517909267,29.80519224750161,21.676503452728443,13.547814657955279,5.419125863182111
t0007,2024-01-01 07:00:00,0.0,0.0,0.0,222.81676986256255,426.6970065118323,331.8804020273391,0.0,279.7156481111518,284.4497826960352,303.6989397007966,241.79795263269224,294.7666036215711,209.9095620930307,293.9627065488795,184.89905900538082,161.18374165036775,246.5320718388534,213.34849556655504,118.53190646078404,113.79777187590064,203.8802366492697,104.28484802305631,94.81658910577099,94.81658910577099,0.0,0.0,0.0,0.0,142.2472238157971,90.0824698996098,85.34833018848568,80.61419560360225,66.36715254459676,66.36715254459676,50.895599234023116,47.4306347100261,37.91771085718178,33.18357627229838,0.0,0.0,0.0,0.0,0.0,36.47997038051596,0.0,0.0,121.59990528599675,259.1013322373133,81.37839705361218,105.69837673334516,0.0,72.95994248286488,66.4122559771354,26.19074774475082,78.57224495608543,30.78348232848816,72.02455845035595,63.60610560144161,58.92918371706406,57.058415652046236,49.57534511380785,58.583091848874055,36.47997038051596,34.60920231549812,32.76649840585998,31.803050217971368,31.803050217971368,30.86766790729541,0.0,26.19074774475082,25.25536543407486,22.842075353371694,21.51382930403919,18.707678928345395,34.60920231549812,16.83691086332756,16.83691086332756,18.508273453498948,15.901526830818641,15.901526830818641,14.966142798309725,14.030760487633767,11.224604946441097,11.224604946441097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.39287674150556,185.14965142108514,0.0,222.17958933078808,0.0,71.21140732560426,88.3021420335549,108.241332526164,153.81663778984228,136.72590308189163,122.48362415859941,119.63516837394097,108.241332526164,0.0,111.08978831082244,85.45368624889646,62.666039971628926,59.817584186970485,56.969128402312045,68.36295154094582,78.6958789504964,65.51449575628737,34.181469415901304,31.33301363124286,22.787646277267537,14.24227892329221,5.696911569316884
t0008,2024-01-01 08:00:00,0.0,0.0,0.0,233.28748981616678,446.74857113590645,347.4762961328919,0.0,292.860189340339,297.8167928062297,317.97051607170897,253.1606460643107,308.6184270731914,219.7737399177767,307.77675285686354,193.58793043873146,168.75817072469687,258.11723342879435,223.3742775172497,124.10201861564215,119.14541514975143,213.46108131973966,109.18545509911762,99.27225890160756,99.27225890160756,0.0,0.0,0.0,0.0,148.93177832967675,94.31567153712388,89.3590627040975,84.40245923820679,69.4859118230893,69.4859118230893,53.28731134249251,49.65951942806916,39.69955937743536,34.74295591154465,0.0,0.0,0.0,0.0,0.0,37.23733843052113,0.0,0.0,124.12446553609107,264.4805874478692,83.06791042892893,107.89280213008293,0.0,74.47467861862253,67.79105426784652,26.73449916068436,80.20349923963337,31.422584436859058,73.51987488885736,64.92664483613123,60.15262442972503,58.24301697019466,50.60458888965345,59.799347278197345,37.23733843052113,35.32773097099076,33.44677031245117,32.4633197816952,32.4633197816952,31.508517809510295,0.0,26.73449916068436,25.77969718849946,23.316304303888995,21.960482269438714,19.096072837723437,35.32773097099076,17.186465378193066,17.186465378193066,18.892527465446438,16.231661648427878,16.231661648427878,15.276857918662694,14.32205594647779,11.45764124202167,11.45764124202167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.20499051898618,195.36012174119577,0.0,234.43215413544445,0.0,75.13851145661742,93.17175098780179,114.21053044085022,162.2991826006911,144.2659430695067,129.2382434601864,126.23270353832234,114.21053044085022,0.0,117.21607036271429,90.16621106593773,66.12189169102524,63.11635176916117,60.110811847297114,72.13297153475335,83.0357301474701,69.1274316128893,36.06647906236875,33.06093914050468,24.044319374912497,15.027699609320312,6.011079843728124
t0009,2024-01-01 09:00:00,0.0,0.0,0.0,242.22150558897172,463.8573273068928,360.78330506326085,0.0,304.0756109339058,309.22203329483756,330.14756683474013,262.8557274712662,320.4373287100638,228.19023091959158,319.5634216006212,201.001605408303,175.2209611650768,268.0021331141688,231.92865529443182,128.854649768829,123.70822740789724,221.63582171792106,113.36683910211359,103.07400552560281,103.07400552560281,0.0,0.0,0.0,0.0,154.63529401205523,97.92759988270018,92.78117194909204,87.63474958816026,72.14695563947397,72.14695563947397,55.3280109119351,51.56128848645241,41.21990018066875,36.073477819736986,0.0,0.0,0.0,0.0,0.0,38.674508658936595,0.0,0.0,128.915033122421,274.6881812849831,86.27390561647137,112.05691078062448,0.0,77.34901914328705,70.40744118090235,27.766313674952702,83.29894285027197,32.63533499197152,76.35736488788727,67.43248024011682,62.47420713770398,60.49089862690439,52.55766640911988,62.10729530050986,38.674508658936595,36.69120014813701,34.73764405788262,33.71623738193762,33.71623738193762,32.724584951951684,0.0,27.766313674952702,26.77466124496677,24.21619403270912,22.808044223367585,19.83308328258206,36.69120014813701,17.849774771782467,17.849774771782467,19.62168210316369,16.85812051638267,16.85812051638267,15.866466260982875,14.874813830996944,11.899847413969828,11.899847413969828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.45130677200717,215.1171641371938,0.0,258.1406058243463,0.0,82.73737422957983,102.59434050079349,125.76080115054278,178.7127259733021,158.85575970208842,142.30828780941036,138.99879343087474,125.76080115054278,0.0,129.07029552907838,99.28484612225787,72.80889109397299,69.49939671543737,66.18990233690177,79.42787985104421,91.43324969385702,76.1183854725086,39.713932542427344,36.404438163891726,26.475955028284893,16.547471892678058,6.618988757071223
t0010,2024-01-01 10:00:00,0.0,0.0,0.0,248.48928736981205,475.8602107747916,370.11902040698476,0.0,311.9439443817357,317.2235368021629,338.69054446739904,269.6574453271102,328.7290418917918,234.09493607137344,327.8325213523592,206.2027711645577,179.75502078683238,274.93702059690855,237.93009681208136,132.18892359490334,126.90933117447614,227.37092340497955,116.30034662427984,105.74117321717802,105.74117321717802,0.0,0.0,0.0,0.0,158.6366739726287,100.46159794737967,95.18199981007619,89.90240738964897,74.01384756965435,74.01384756965435,56.75969179394738,52.895500755450676,42.28651620525437,37.00692378482717,0.0,0.0,0.0,0.0,0.0,40.51180541984449,0.0,0.0,135.03935586112573,287.7376995137806,90.37249077854527,117.38036042106387,0.0,81.02361275182216,73.75226360040047,29.085398517819996,87.25619746559317,34.18573077852635,79.98484831417147,70.63597219958154,65.44214809919488,63.364619223893484,55.05450563482108,65.05780550584144,40.51180541984449,38.4342765445431,36.38791352793499,35.31798323159101,35.31798323159101,34.27922070607349,0.0,29.085398517819996,28.04663599230248,25.366624546259615,23.89157824169969,20.775286840880774,38.4342765445431,18.69775796557938,18.69775796557938,20.553842697358508,17.658993527928683,17.658993527928683,16.620229090277984,15.581466564760467,12.465169427542014,12.465169427542014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.73885366746563,231.43312517191063,0.0,277.7197597379879,0.0,89.01274411677146,110.37579889211854,135.29936279669013,192.26752475044097,170.9044699750939,153.1019243289713,149.5414151997468,135.29936279669013,0.0,138.85987192591466,106.81528976289403,78.33121672909792,74.7707075998734,71.21019847064889,85.45223498754694,98.368174413909,81.89172585832243,42.72610955069417,39.16560042146965,28.48407303379611,17.80254564612257,7.121018258449028
