timestep,datetime,bus026,bus010,bus025,bus012,bus015,bus011,bus113,bus032,bus018,bus074,bus001,bus070,bus075,bus027,bus003,bus013,bus006,bus019,bus016,bus029,bus031,bus115,bus002,bus117,bus008,bus024,bus072,bus073,bus004,bus007,bus020,bus028,bus014,bus021,bus017,bus022,bus114,bus023,bus005,bus009,bus030,bus071,bus065,bus066,bus069,bus099,bus080,bus059,bus049,bus054,bus061,bus060,bus078,bus046,bus056,bus036,bus062,bus076,bus055,bus077,bus045,bus034,bus079,bus041,bus035,bus047,bus098,bus118,bus116,bus067,bus039,bus033,bus053,bus048,bus042,bus043,bus052,bus040,bus050,bus051,bus044,bus097,bus057,bus058,bus037,bus038,bus063,bus064,bus068,bus081,bus087,bus100,bus092,bus089,bus090,bus111,bus112,bus105,bus104,bus082,bus088,bus106,bus095,bus096,bus091,bus110,bus094,bus101,bus086,bus083,bus085,bus107,bus103,bus093,bus084,bus109,bus102,bus108
t0001,2024-01-01 01:00:00,0.0,0.0,0.0,237.57296555590784,454.95531280420414,353.859412683145,0.0,298.2400116254645,303.2876675687998,323.8116133960964,257.8111903683396,314.2877271419667,223.81096896675817,313.43059142602016,197.14412790159417,171.85824714582716,262.8588299144861,227.47764820350767,126.38176447963735,121.33410853630204,217.3823472482963,111.19118467908172,101.09588372387033,101.09588372387033,0.0,0.0,0.0,0.0,151.66764523540436,96.04824417772383,91.00058276865894,85.95292682532364,70.76236342195682,70.76236342195682,54.266195723194755,50.571761511534035,40.4288376543137,35.38118171097841,0.0,0.0,0.0,0.0,0.0,40.348914000195734,0.0,0.0,134.49638444435698,286.58075274543666,90.00911760453954,116.90839296985509,0.0,80.69782990483627,73.45571767272146,28.968450832904015,86.90535440315685,34.048275482211245,79.66324217104204,70.35195637578357,65.17901580236763,63.10984033477918,54.83314036887015,64.79621858844159,40.348914000195734,38.279738532607276,36.24160361083319,35.17597533122459,35.17597533122459,34.14138950187516,0.0,28.968450832904015,27.933865003554587,25.26462945023229,23.79551406837767,20.691752771439784,38.279738532607276,18.622577303851326,18.622577303851326,20.471199019015554,17.587989570057093,17.587989570057093,16.553401836262868,15.51881600691344,12.415048996641149,12.415048996641149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.71274788072446,217.33320936518462,0.0,260.79986018920425,0.0,83.58969935237205,103.65122361654825,127.05633525808716,180.5537482141949,160.49222395001868,143.77428706320518,140.43069968584248,127.05633525808716,0.0,130.39992263544985,100.30763623918554,73.55893722028394,70.21534984292124,66.87176246555855,80.24611197500934,92.37515601489118,76.90252459764665,40.12304852835241,36.77946115098971,26.74869901890161,16.717936886813508,6.687174754725403
t0002,2024-01-01 02:00:00,0.0,0.0,0.0,217.09219817725207,415.7343774278946,323.3537855005532,0.0,272.5292398345079,277.14174581479483,295.8963566540072,235.58571953165162,287.19350867944434,204.5166002599744,286.4102651976969,180.14866289078117,157.0426355560947,240.19821052832393,207.86718122213998,115.48660427841322,110.87409829812627,198.6421792506425,101.60557891522421,92.38057694372674,92.38057694372674,0.0,0.0,0.0,0.0,138.5926316130997,87.76808594705442,83.15557497222926,78.5430689919423,64.66205861236793,64.66205861236793,49.587997896557745,46.21205466937297,36.94353528647091,32.331029306183964,0.0,0.0,0.0,0.0,0.0,36.57294582433089,0.0,0.0,121.90982344228608,259.7616962975503,81.58580381694244,105.9677671244226,0.0,73.14589337488312,66.58151897021949,26.25749934487585,78.77249976084889,30.861939298211713,72.20812535618526,63.768216640347276,59.079374820636666,57.20383878324097,49.701696359879485,58.73240087812724,36.57294582433089,34.69740978693518,32.850009431219064,31.884105730841622,31.884105730841622,30.946339438365115,0.0,26.25749934487585,25.31973305239934,22.900292289171844,21.56866097760793,18.755358647735715,34.69740978693518,16.879822610340007,16.879822610340007,18.555444953931584,15.942054591642155,15.942054591642155,15.004286572944302,14.066520280467794,11.253212771931548,11.253212771931548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12707298887214,198.73675316359072,0.0,238.48411198138672,0.0,76.43721590333408,94.7821444461031,116.18456107933363,165.10438416851417,146.75945562574515,131.47201517343763,128.4145270829761,116.18456107933363,0.0,119.24204916979515,91.7246563556416,67.26475163194957,64.20726354148805,61.14977545102655,73.37972781287257,84.4709312166468,70.32223972241107,36.689857085538065,33.63236899507656,24.459904723692045,15.287440452307527,6.114976180923011
t0003,2024-01-01 03:00:00,0.0,0.0,0.0,209.76421718855903,401.7011987152706,312.43892806825016,0.0,263.3299728634321,267.7867829853806,285.90832901234273,227.63348684696544,277.4992470277166,197.61311053919886,276.74244205178354,174.067716694252,151.74163691389705,232.0902824910736,200.85059211871513,111.58833594953504,107.13152582758647,191.9369815267116,98.17586676118361,89.26225616918009,89.26225616918009,0.0,0.0,0.0,0.0,133.91441572989,84.80546052507191,80.34864557717657,75.891835455228,62.47938074471696,62.47938074471696,47.91414729803632,44.6521595607099,35.69650049430703,31.23969037235848,0.0,0.0,0.0,0.0,0.0,35.89327155267544,0.0,0.0,119.64424246191406,254.93426613693237,80.06960733517548,103.99845447224538,0.0,71.78654479949199,65.34416320376954,25.769528077030937,77.30858592523394,30.288398785091985,70.86620432951149,62.583143487969124,57.98143944392545,56.140758503964435,48.778036438261466,57.64091369027101,35.89327155267544,34.05259061271442,32.23952247888872,31.291569202772884,31.291569202772884,30.371230426933494,0.0,25.769528077030937,24.84918930119155,22.474711600181102,21.167827421269507,18.406807705469095,34.05259061271442,16.566126765508074,16.566126765508074,18.210609222216583,15.645786295527563,15.645786295527563,14.725445825547054,13.805107049707663,11.044082251483887,11.044082251483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.27042877797084,197.23183763282594,0.0,236.67821328248826,0.0,75.85840221381657,94.0644154958937,115.30476432498367,163.85414661568456,145.64813333360743,130.47645559854317,127.4421200515303,115.30476432498367,0.0,118.33909987199652,91.03007994888084,66.75539557277801,63.72106002576515,60.6867244787523,72.82406666680372,83.83128296707793,69.78973111979086,36.41202656415425,33.377691017141395,24.274684376102837,15.171677735064273,6.068671094025709
t0004,2024-01-01 04:00:00,0.0,0.0,0.0,206.28812364264041,395.04443445415393,307.26136749138834,0.0,258.96621801817804,263.34917241245324,281.1704184643735,223.86127390679366,272.90068701343534,194.33837823575394,272.15642338000396,171.18316529333424,149.2270606349058,228.24421406314704,197.52221010811607,109.73915738327226,105.35620298899703,188.75631081151352,96.54895202144634,87.78305272484381,87.78305272484381,0.0,0.0,0.0,0.0,131.6952620417007,83.40011256849041,79.01715342824127,74.63419903396604,61.44400791006198,61.44400791006198,47.120141244891514,43.91220931685688,35.1049583493062,30.72200395503099,0.0,0.0,0.0,0.0,0.0,35.59119409860611,0.0,0.0,118.63731758174794,252.78874162110048,79.39574223216741,103.12320440461039,0.0,71.18238987709546,64.79422730756913,25.552651957988587,76.65795755384902,30.033491890371906,70.26979498432267,62.05644430913399,57.49346816538676,55.66827837984116,48.36752091754203,57.15580827344564,35.59119409860611,33.76600431306052,31.96819494451947,31.028219634742126,31.028219634742126,30.115626421852575,0.0,25.552651957988587,24.640058745099036,22.285564627296182,20.989679174007847,18.2518961755727,33.76600431306052,16.426706390027107,16.426706390027107,18.0573488970098,15.514111497254307,15.514111497254307,14.601516604481512,13.68892339159196,10.951135353507077,10.951135353507077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.53441704963872,201.20911439270452,0.0,241.45094555814876,0.0,77.38812410754149,95.9612705785901,117.62994146148014,167.15834586244873,148.5851993914001,133.10757733219293,130.0120529203515,117.62994146148014,0.0,120.72546587332158,92.86574616674866,68.10155087201719,65.00602646017575,61.910502048334315,74.29259969570005,85.52178191236722,71.19707528385862,37.146292942097226,34.05076853025579,24.764195294731483,15.477622059207178,6.191048823682871
t0005,2024-01-01 05:00:00,0.0,0.0,0.0,205.86535550867717,394.2348279899637,306.63166417798595,0.0,258.4354910775388,262.80946301844835,280.59418610043105,223.40249125190772,272.34140268737383,193.9400999826321,271.59866435235483,170.83234147430355,148.92123379016348,227.7764489840747,197.1174068906106,109.51425728737533,105.14028534646579,188.36947248128658,96.3510840125593,87.60314960323527,87.60314960323527,0.0,0.0,0.0,0.0,131.4253649715154,83.22919187106827,78.85521519391123,74.4812432530017,61.31808418692821,61.31808418692821,47.02357294113062,43.822215368280126,35.033014034373636,30.659042093464105,0.0,0.0,0.0,0.0,0.0,36.57294582433089,0.0,0.0,121.90982344228608,259.7616962975503,81.58580381694244,105.9677671244226,0.0,73.14589337488312,66.58151897021949,26.25749934487585,78.77249976084889,30.861939298211713,72.20812535618526,63.768216640347276,59.079374820636666,57.20383878324097,49.701696359879485,58.73240087812724,36.57294582433089,34.69740978693518,32.850009431219064,31.884105730841622,31.884105730841622,30.946339438365115,0.0,26.25749934487585,25.31973305239934,22.900292289171844,21.56866097760793,18.755358647735715,34.69740978693518,16.879822610340007,16.879822610340007,18.555444953931584,15.942054591642155,15.942054591642155,15.004286572944302,14.066520280467794,11.253212771931548,11.253212771931548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.36833795401058,209.70113774487743,0.0,251.64137393050473,0.0,80.65428706981893,100.01131251191475,122.59450886102654,174.21325776770178,154.85623232560593,138.7253777905261,135.4992068835101,122.59450886102654,0.0,125.82067976804251,96.78514160489878,70.97577434877103,67.74960344175506,64.5234325347391,77.42811616280297,89.13122560636319,74.20194525578701,38.714050884191636,35.487879977175666,25.809367256127757,16.13085453507985,6.452341814031939
t0006,2024-01-01 06:00:00,0.0,0.0,0.0,209.90513989987997,401.9710675366671,312.64882917271746,0.0,263.506881843645,267.96668611671544,286.10040646698997,227.78641439859393,277.6856751364036,197.745869956906,276.92836172766636,174.18465796726213,151.84357919547773,232.24620418409756,200.98552652455015,111.66330264816727,107.20349837509681,192.06592763678714,98.2418227641459,89.32222387638288,89.32222387638288,0.0,0.0,0.0,0.0,134.00438141995167,84.86243409087923,80.40262498861986,75.9428207155494,62.52135531909484,62.52135531909484,47.94633673262325,44.68215754356879,35.720481932617865,31.26067765954742,0.0,0.0,0.0,0.0,0.0,38.51127615460816,0.0,0.0,128.37092475668243,273.52881194079856,85.90977156124225,111.58395505841123,0.0,77.0225541269257,70.11027430417047,27.649121108730295,82.94736514390027,32.49759187266479,76.03508532114505,67.14786970453788,62.21052385792521,60.235586246363894,52.335837617828005,61.845160636088586,38.51127615460816,36.536338543046845,34.5910277767543,33.573932125704864,33.573932125704864,32.586465137633596,0.0,27.649121108730295,26.661654120659023,24.113985365182863,22.711778897536387,19.749374297903795,36.536338543046845,17.77443668634248,17.77443668634248,19.538865374008015,16.786967880561818,16.786967880561818,15.79949907478116,14.812032086709886,11.849622033949139,11.849622033949139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.42778156437248,215.07583606903742,0.0,258.0910121408565,0.0,82.72147881809578,102.57463019123412,125.7366401265622,178.67839188495046,158.8252405118121,142.2809477008635,138.97208913867377,125.7366401265622,0.0,129.04549868875193,99.2657716290444,72.79490313152661,69.48604456933688,66.17718600714717,79.41262025590605,91.41568364053784,76.10376169371634,39.7063027462767,36.39744418408697,26.4708684975178,16.544292810948622,6.61771712437945
t0007,2024-01-01 07:00:00,0.0,0.0,0.0,219.11209037285343,419.6024972012462,326.3623679979189,0.0,275.06493521756096,279.7203573639284,298.64946683728664,237.7776811049947,289.86564490395915,206.41948524711134,289.07511388535266,181.82482113726044,158.50380825875177,242.43308812833533,209.80124103910973,116.56112695880918,111.90570481244177,200.49040682839276,102.5509482910175,93.24011408030054,93.24011408030054,0.0,0.0,0.0,0.0,139.88213983731785,88.58470705695989,83.92927986958357,79.27385772321615,65.26369417845125,65.26369417845125,50.04937979230406,46.642025757017294,37.28726923559302,32.63184708922562,0.0,0.0,0.0,0.0,0.0,41.028588271851184,0.0,0.0,136.761965424729,291.4081829060546,91.52531408630651,118.8777056220323,0.0,82.05717848022739,74.69307343917141,29.456422100748924,88.3692682387718,34.62181599533098,81.00516319771583,71.53702952816172,66.27695117907885,64.17292061405571,55.75680029048816,65.88770577629782,41.028588271851184,38.92455770682805,36.852090563163536,35.768511859293326,35.768511859293326,34.71649851330678,0.0,29.456422100748924,28.404408754762375,25.690210139223034,24.19634762471609,21.0403037137064,38.92455770682805,18.93627314868326,18.93627314868326,20.816034750730555,17.884257866171687,17.884257866171687,16.83224258366012,15.78022923767357,12.624179517088807,12.624179517088807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.07813585212293,223.24537752176127,0.0,267.89446222059195,0.0,85.86361027547682,106.47087306379986,130.51267965017675,185.465395743169,164.85813295484596,147.68541396457675,144.2508701665229,130.51267965017675,0.0,133.9472234482306,103.03632926574602,75.5599788813153,72.12543508326145,68.69089128520761,82.42906647742298,94.88805985248354,78.99452267936914,41.214525576646096,37.77998177859226,27.476350384430734,17.172718990269207,6.869087596107684
t0008,2024-01-01 08:00:00,0.0,0.0,0.0,226.9098137326167,434.5352386518592,337.97689577844676,0.0,284.85389878934694,289.6749972977924,309.27775266110933,246.23967229510967,300.18133358464405,213.76550636024444,299.3626692842094,188.295571577157,164.1446145062186,251.06075514233268,217.26761149531836,120.70928428312837,115.88818577468292,207.62542491924245,106.20051378826592,96.55832721219,96.55832721219,0.0,0.0,0.0,0.0,144.86024135406674,91.73724436496698,86.91614063611406,82.09504212766862,67.58628729402861,67.58628729402861,51.83052850611536,48.30191414187674,38.61424215545975,33.793143647014304,0.0,0.0,0.0,0.0,0.0,43.06761108681816,0.0,0.0,143.55870836584714,305.890473387913,96.07390353160885,124.78564357856573,0.0,86.13522420640201,78.40514073852242,30.920335904284105,92.76100974561801,36.34243753469069,85.03092627773842,75.09224898529726,69.5707573092135,67.36216145188628,58.527780055343065,69.16216733986751,43.06761108681816,40.859015229490936,38.683551420155126,37.5461214435001,37.5461214435001,36.44182554760217,0.0,30.920335904284105,29.81604000838618,26.96695220619565,25.398848293731728,22.08595654050658,40.859015229490936,19.877360683179354,19.877360683179354,21.85054194587588,18.77306275451574,18.77306275451574,17.668764825852126,16.564468929954202,13.251571078431981,13.251571078431981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.40156773415274,232.59735260579987,0.0,279.1168327066043,0.0,89.4605239174786,110.93104582581566,135.9799880522089,193.23472910718192,171.76420719884484,153.87210560856394,150.29368529050777,135.9799880522089,0.0,139.55840837026508,107.35262550775948,78.72526296331006,75.14684264525388,71.56842232719771,85.88210359942242,98.86301683194749,82.30368328136625,42.94104381667414,39.36262349861796,28.627362544449426,17.89210159028089,7.156840636112356
t0009,2024-01-01 09:00:00,0.0,0.0,0.0,241.09603333893344,461.7020333391197,359.1069402948293,0.0,302.6627361307895,307.7852458521721,328.6135497622813,261.6343791590542,318.94842985914363,227.1299544094388,318.078583323094,200.06765972684866,174.40680418534532,266.7568722400873,230.8510083493851,128.25593194544422,123.1334222240616,220.6060000001862,112.84008475313973,102.59507640394087,102.59507640394087,0.0,0.0,0.0,0.0,153.91678748694756,97.47258332290777,92.35006805474201,87.2275583333594,71.81172778140443,71.81172778140443,55.07093158786854,51.32171108300668,41.02837361208481,35.905863890702214,0.0,0.0,0.0,0.0,0.0,45.86182753695803,0.0,0.0,152.8727635073792,325.73657515934804,102.30715573443042,132.88170670418543,0.0,91.7236572385671,83.49204777837366,32.92644000542486,98.77932218092563,38.700326310850244,90.54771272073219,79.96421638951992,74.08449163569422,71.73260260002438,62.32504862199599,73.64939244549994,45.86182753695803,43.509938501288175,41.19333111306947,39.982104947783384,39.982104947783384,38.806162594599506,0.0,32.92644000542486,31.75049765224098,28.716561705380304,27.046719580901268,23.51888819204753,43.509938501288175,21.16699915637767,21.16699915637767,23.268199954037954,19.991054638542742,19.991054638542742,18.815110120707814,17.639167767523936,14.11132988471705,14.11132988471705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.31765555541597,239.47696646072467,0.0,287.3723696158546,0.0,92.10652935527295,114.21209245534446,140.00191607209456,198.95010077726027,176.84453767718875,158.42323509379582,154.73897457711723,140.00191607209456,0.0,143.68617658877312,110.52783193866587,81.05374780523721,77.36948728855862,73.68522677188004,88.42226883859438,101.78712311569103,84.7380083219158,44.21112620014301,40.52686568346443,29.474084133428676,18.421302583392922,7.368521033357169
t0010,2024-01-01 10:00:00,0.0,0.0,0.0,259.2750630993456,496.5151112992839,386.18418277112033,0.0,325.48399457826673,330.9927497943734,353.3915414117959,281.36203331914163,342.99765587977663,244.25591929367093,342.06222151199523,215.15308394516182,187.55735850925905,286.8707706401897,248.2575467021126,137.92663606900769,132.41788085290096,237.24004819993831,121.34840913527918,110.3309106331049,110.3309106331049,0.0,0.0,0.0,0.0,165.52236150491046,104.82217331205689,99.31341213093063,93.80465691482392,77.22644787615413,77.22644787615413,59.223368649585275,55.19145087180555,44.12197915418376,38.61322393807706,0.0,0.0,0.0,0.0,0.0,47.49808041316599,0.0,0.0,158.32693994160945,337.3581662867644,105.95725837572216,137.62264457053908,0.0,94.99616306821318,86.47086721612425,34.101185650236964,102.3035591925921,40.08107199058325,93.77826334050317,82.8171702748754,76.72766939444408,74.29186993902404,64.54867435922507,76.27704678663592,47.49808041316599,45.06228095774594,42.66302192423546,41.408581774615875,41.408581774615875,40.19068428878707,0.0,34.101185650236964,32.88328816440816,29.74110780850641,28.01168925356807,24.35799231231922,45.06228095774594,21.922192856899176,21.922192856899176,24.098360048907598,20.704293129189153,20.704293129189153,19.48639340147913,18.268495915650327,14.614792248757832,14.614792248757832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.8473773605972,242.16431562280513,0.0,290.59718872103105,0.0,93.14012522941155,115.49375129500436,141.57298170486266,201.18266783588498,178.82904177029218,160.20102004896484,156.47541570469934,141.57298170486266,0.0,145.29858604912812,111.7681469507389,81.96331219661515,78.23770785234967,74.51210350808422,89.41452088514609,102.92935213277855,85.68891654088063,44.707252131185626,40.981647786920156,29.804834754123753,18.628021721327347,7.451208688530938
